,transcriptome,Term,n
70,Pgenerosa,GO:0002376,9
71,Pgenerosa,peroxisome organization,8
72,Pgenerosa,nitrogen cycle metabolic process,6
73,Pgenerosa,GO:0006629,5
74,Pgenerosa,GO:0048856,5
75,Pgenerosa,GO:0023052,4
76,Pgenerosa,GO:0016071,3
77,Pgenerosa,GO:0016192,3
78,Pgenerosa,GO:0098542,3
79,Pgenerosa,GO:0006914,2
80,Pgenerosa,GO:0012501,2
81,Pgenerosa,GO:0055086,2
82,Pgenerosa,GO:0005975,1
83,Pgenerosa,GO:0006766,1
84,Pgenerosa,GO:0006790,1
85,Pgenerosa,GO:0006954,1
86,Pgenerosa,GO:0016021,1
87,Pgenerosa,GO:0022414,1
88,Pgenerosa,GO:0030154,1
89,Pgenerosa,GO:0033644,1
90,Pgenerosa,GO:0034330,1
91,Pgenerosa,GO:0044172,1
92,Pgenerosa,GO:0044220,1
93,Pgenerosa,GO:0055085,1
94,Pgenerosa,GO:0061024,1
95,Pgenerosa,GO:1901135,1
96,Manila,anatomical structure development,274
97,Manila,signaling,178
98,Manila,cell differentiation,111
99,Manila,transmembrane transport,107
100,Manila,cytoskeleton organization,106
101,Manila,DNA-templated transcription,61
102,Manila,mRNA metabolic process,59
103,Manila,protein catabolic process,54
104,Manila,circulatory system process,49
105,Manila,programmed cell death,48
106,Manila,protein-containing complex assembly,48
107,Manila,regulation of DNA-templated transcription,45
108,Manila,vesicle-mediated transport,44
109,Manila,mitotic cell cycle,36
110,Manila,cell motility,35
111,Manila,immune system process,34
112,Manila,reproductive process,32
113,Manila,microtubule-based movement,31
114,Manila,cilium organization,29
115,Manila,nervous system process,28
116,Manila,muscle system process,27
117,Manila,autophagy,23
118,Manila,lipid metabolic process,23
119,Manila,ribosome biogenesis,23
120,Manila,DNA repair,20
121,Manila,DNA replication,17
122,Manila,cytokinesis,17
123,Manila,generation of precursor metabolites and energy,16
124,Manila,cell adhesion,13
125,Manila,defense response to other organism,13
126,Manila,chromatin organization,12
127,Manila,cell junction organization,11
128,Manila,chromosome segregation,11
129,Manila,intracellular protein transport,11
130,Manila,nucleobase-containing small molecule metabolic process,11
131,Manila,carbohydrate derivative metabolic process,10
132,Manila,membrane organization,10
133,Manila,protein localization to plasma membrane,8
134,Manila,DNA recombination,5
135,Manila,mitotic nuclear division,5
136,Manila,nucleocytoplasmic transport,5
137,Manila,snRNA metabolic process,5
138,Manila,carbohydrate metabolic process,4
139,Manila,establishment or maintenance of cell polarity,4
140,Manila,mitochondrion organization,4
141,Manila,tRNA metabolic process,4
142,Manila,telomere organization,4
143,Manila,cellular amino acid metabolic process,3
144,Manila,gene silencing by RNA,3
145,Manila,cellular modified amino acid metabolic process,2
146,Manila,lysosome organization,2
147,Manila,cytoplasmic translation,1
148,Manila,detoxification,1
149,Manila,inflammatory response,1
150,Manila,meiotic nuclear division,1
151,Manila,renal system process,1
152,Manila,wound healing,1
153,Manila_r,anatomical structure development,251
154,Manila_r,signaling,140
155,Manila_r,cell differentiation,105
156,Manila_r,cytoskeleton organization,101
157,Manila_r,DNA-templated transcription,73
158,Manila_r,regulation of DNA-templated transcription,59
159,Manila_r,transmembrane transport,49
160,Manila_r,mRNA metabolic process,45
161,Manila_r,reproductive process,45
162,Manila_r,cell motility,39
163,Manila_r,vesicle-mediated transport,36
164,Manila_r,protein catabolic process,33
165,Manila_r,microtubule-based movement,32
166,Manila_r,protein-containing complex assembly,32
167,Manila_r,lipid metabolic process,30
168,Manila_r,nervous system process,29
169,Manila_r,programmed cell death,28
170,Manila_r,immune system process,27
171,Manila_r,cilium organization,24
172,Manila_r,mitotic cell cycle,24
173,Manila_r,DNA repair,20
174,Manila_r,DNA replication,17
175,Manila_r,cell junction organization,14
176,Manila_r,autophagy,12
177,Manila_r,circulatory system process,12
178,Manila_r,intracellular protein transport,11
179,Manila_r,cell adhesion,10
180,Manila_r,chromatin organization,10
181,Manila_r,generation of precursor metabolites and energy,10
182,Manila_r,ribosome biogenesis,10
183,Manila_r,cytokinesis,9
184,Manila_r,muscle system process,9
185,Manila_r,DNA recombination,8
186,Manila_r,chromosome segregation,8
187,Manila_r,membrane organization,8
188,Manila_r,carbohydrate derivative metabolic process,7
189,Manila_r,cellular amino acid metabolic process,7
190,Manila_r,defense response to other organism,7
191,Manila_r,nucleobase-containing small molecule metabolic process,7
192,Manila_r,protein localization to plasma membrane,7
193,Manila_r,establishment or maintenance of cell polarity,5
194,Manila_r,nucleocytoplasmic transport,5
195,Manila_r,snRNA metabolic process,5
196,Manila_r,tRNA metabolic process,5
197,Manila_r,meiotic nuclear division,4
198,Manila_r,carbohydrate metabolic process,3
199,Manila_r,gene silencing by RNA,3
200,Manila_r,mitochondrion organization,3
201,Manila_r,mitotic nuclear division,3
202,Manila_r,telomere organization,3
203,Manila_r,cellular modified amino acid metabolic process,2
204,Manila_r,inflammatory response,2
205,Manila_r,sulfur compound metabolic process,2
206,Manila_r,cytoplasmic translation,1
207,Manila_r,detoxification,1
208,Manila_r,lysosome organization,1
209,Manila_r,renal system process,1
210,Manila_r,wound healing,1
211,Mercenaria,anatomical structure development,3269
212,Mercenaria,cell differentiation,1102
213,Mercenaria,signaling,1076
214,Mercenaria,cytoskeleton organization,438
215,Mercenaria,DNA-templated transcription,357
216,Mercenaria,reproductive process,296
217,Mercenaria,regulation of DNA-templated transcription,295
218,Mercenaria,vesicle-mediated transport,258
219,Mercenaria,cell motility,216
220,Mercenaria,mRNA metabolic process,210
221,Mercenaria,immune system process,209
222,Mercenaria,transmembrane transport,206
223,Mercenaria,cell junction organization,174
224,Mercenaria,nervous system process,173
225,Mercenaria,protein-containing complex assembly,161
226,Mercenaria,carbohydrate derivative metabolic process,157
227,Mercenaria,establishment or maintenance of cell polarity,144
228,Mercenaria,lipid metabolic process,144
229,Mercenaria,mitotic cell cycle,140
230,Mercenaria,microtubule-based movement,135
231,Mercenaria,cell adhesion,134
232,Mercenaria,cilium organization,131
233,Mercenaria,DNA replication,126
234,Mercenaria,programmed cell death,109
235,Mercenaria,membrane organization,91
236,Mercenaria,cytokinesis,87
237,Mercenaria,circulatory system process,80
238,Mercenaria,nucleobase-containing small molecule metabolic process,69
239,Mercenaria,protein catabolic process,66
240,Mercenaria,protein localization to plasma membrane,64
241,Mercenaria,intracellular protein transport,54
242,Mercenaria,chromatin organization,49
243,Mercenaria,defense response to other organism,48
244,Mercenaria,DNA repair,45
245,Mercenaria,extracellular matrix organization,44
246,Mercenaria,carbohydrate metabolic process,43
247,Mercenaria,muscle system process,42
248,Mercenaria,cellular amino acid metabolic process,37
249,Mercenaria,autophagy,35
250,Mercenaria,generation of precursor metabolites and energy,34
251,Mercenaria,chromosome segregation,31
252,Mercenaria,mitotic nuclear division,28
253,Mercenaria,protein glycosylation,24
254,Mercenaria,DNA recombination,23
255,Mercenaria,sulfur compound metabolic process,22
256,Mercenaria,GO:0002376,18
257,Mercenaria,gene silencing by RNA,18
258,Mercenaria,wound healing,18
259,Mercenaria,inflammatory response,17
260,Mercenaria,protein maturation,15
261,Mercenaria,cytoplasmic translation,13
262,Mercenaria,endocrine process,10
263,Mercenaria,mitochondrion organization,10
264,Mercenaria,tRNA metabolic process,10
265,Mercenaria,GO:0006914,9
266,Mercenaria,GO:0012501,9
267,Mercenaria,GO:0016071,9
268,Mercenaria,GO:0023052,9
269,Mercenaria,GO:0098542,9
270,Mercenaria,lysosome organization,8
271,Mercenaria,meiotic nuclear division,8
272,Mercenaria,nucleocytoplasmic transport,8
273,Mercenaria,renal system process,8
274,Mercenaria,cellular modified amino acid metabolic process,7
275,Mercenaria,ribosome biogenesis,7
276,Mercenaria,telomere organization,7
277,Mercenaria,detoxification,4
278,Mercenaria,snRNA metabolic process,4
279,Mercenaria,mitochondrial gene expression,3
280,Mercenaria,nitrogen cycle metabolic process,2
281,Mercenaria,respiratory system process,1
282,Mercenaria,vitamin metabolic process,1
283,Mercenaria_r,anatomical structure development,2562
284,Mercenaria_r,signaling,1384
285,Mercenaria_r,cell differentiation,968
286,Mercenaria_r,DNA-templated transcription,403
287,Mercenaria_r,cytoskeleton organization,350
288,Mercenaria_r,immune system process,349
289,Mercenaria_r,vesicle-mediated transport,343
290,Mercenaria_r,reproductive process,329
291,Mercenaria_r,regulation of DNA-templated transcription,323
292,Mercenaria_r,lipid metabolic process,313
293,Mercenaria_r,cell motility,269
294,Mercenaria_r,programmed cell death,239
295,Mercenaria_r,transmembrane transport,221
296,Mercenaria_r,cell adhesion,205
297,Mercenaria_r,carbohydrate derivative metabolic process,195
298,Mercenaria_r,cell junction organization,187
299,Mercenaria_r,nervous system process,172
300,Mercenaria_r,protein-containing complex assembly,167
301,Mercenaria_r,mRNA metabolic process,163
302,Mercenaria_r,protein catabolic process,158
303,Mercenaria_r,defense response to other organism,155
304,Mercenaria_r,mitotic cell cycle,144
305,Mercenaria_r,membrane organization,123
306,Mercenaria_r,cilium organization,94
307,Mercenaria_r,nucleobase-containing small molecule metabolic process,93
308,Mercenaria_r,DNA repair,92
309,Mercenaria_r,autophagy,91
310,Mercenaria_r,microtubule-based movement,90
311,Mercenaria_r,chromosome segregation,85
312,Mercenaria_r,carbohydrate metabolic process,83
313,Mercenaria_r,circulatory system process,79
314,Mercenaria_r,intracellular protein transport,66
315,Mercenaria_r,DNA recombination,57
316,Mercenaria_r,mitochondrion organization,55
317,Mercenaria_r,mitotic nuclear division,55
318,Mercenaria_r,meiotic nuclear division,51
319,Mercenaria_r,sulfur compound metabolic process,48
320,Mercenaria_r,DNA replication,47
321,Mercenaria_r,cellular amino acid metabolic process,46
322,Mercenaria_r,ribosome biogenesis,44
323,Mercenaria_r,cytokinesis,43
324,Mercenaria_r,generation of precursor metabolites and energy,43
325,Mercenaria_r,protein maturation,43
326,Mercenaria_r,nucleocytoplasmic transport,40
327,Mercenaria_r,muscle system process,39
328,Mercenaria_r,protein localization to plasma membrane,38
329,Mercenaria_r,establishment or maintenance of cell polarity,37
330,Mercenaria_r,chromatin organization,36
331,Mercenaria_r,cellular modified amino acid metabolic process,32
332,Mercenaria_r,extracellular matrix organization,31
333,Mercenaria_r,protein glycosylation,31
334,Mercenaria_r,telomere organization,29
335,Mercenaria_r,inflammatory response,26
336,Mercenaria_r,tRNA metabolic process,24
337,Mercenaria_r,gene silencing by RNA,18
338,Mercenaria_r,wound healing,16
339,Mercenaria_r,protein folding,13
340,Mercenaria_r,snRNA metabolic process,12
341,Mercenaria_r,cytoplasmic translation,11
342,Mercenaria_r,endocrine process,10
343,Mercenaria_r,renal system process,10
344,Mercenaria_r,mitochondrial gene expression,7
345,Mercenaria_r,lysosome organization,6
346,Mercenaria_r,detoxification,5
347,Mercenaria_r,vitamin metabolic process,5
348,Mercenaria_r,respiratory system process,4
349,Mercenaria_r,cell wall organization or biogenesis,3
350,Mercenaria_r,digestive system process,3
351,Mercenaria_r,nitrogen cycle metabolic process,3
352,Mercenaria_r,GO:0002376,2
353,Mercenaria_r,GO:0005975,1
354,Mercenaria_r,GO:0006629,1
355,Mercenaria_r,GO:0006790,1
356,Mercenaria_r,GO:0006914,1
357,Mercenaria_r,GO:0012501,1
358,Mercenaria_r,GO:0016071,1
359,Mercenaria_r,GO:0023052,1
360,Mercenaria_r,GO:0048856,1
361,Mercenaria_r,GO:0055086,1
362,Mercenaria_r,GO:0098542,1
363,Mercenaria_r,GO:1901135,1
364,Mercenaria_r,peroxisome organization,1
