"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"17","PGEN_.00g002430::Scaffold_01:5761729-5830003","JAKTTH010009746.1",94.444,108,6,0,5712,5819,16264,16157,4.12e-37,167
"18","PGEN_.00g002480::Scaffold_01:5933156-5984637","JAKTTH010011331.1",83.465,127,21,0,22342,22468,138024,138150,8.81e-23,119
"19","PGEN_.00g002510::Scaffold_01:6053072-6090279","JAKTTH010006237.1",75.585,1581,373,11,11664,13239,124430,126002,0,769
"20","PGEN_.00g002700::Scaffold_01:6604833-6621571","JAKTTH010002718.1",90,90,9,0,16420,16509,215833,215922,1.03e-22,117
"21","PGEN_.00g002710::Scaffold_01:6632680-6662250","JAKTTH010006080.1",79.586,725,114,32,14869,15581,23103,22401,3.35e-134,488
"22","PGEN_.00g002750::Scaffold_01:6722689-6757020","JAKTTH010015877.1",85.315,143,15,6,1,140,320385,320246,3.49e-30,143
"23","PGEN_.00g002940::Scaffold_01:7283378-7318437","JAKTTH010003816.1",79.407,2428,452,37,2941,5336,25432,23021,0,1670
"24","PGEN_.00g003120::Scaffold_01:7805957-7815163","JAKTTH010012033.1",76.731,881,178,18,5634,6501,7676,8542,4.87e-128,466
"25","PGEN_.00g003180::Scaffold_01:7982531-7986829","JAKTTH010003197.1",83.407,452,59,15,1791,2236,242827,242386,5.01e-110,405
"26","PGEN_.00g003240::Scaffold_01:8147720-8157455","JAKTTH010013659.1",80.769,806,121,32,7706,8498,133164,133948,4.87e-168,599
"27","PGEN_.00g003510::Scaffold_01:8762565-8766855","JAKTTH010008719.1",94.225,658,28,6,804,1456,17692,17040,0,996
"28","PGEN_.00g003520::Scaffold_01:8767297-8783750","JAKTTH010010627.1",89.905,1476,108,18,3305,4769,22072,23517,0,1862
"29","PGEN_.00g003610::Scaffold_01:9049580-9053771","JAKTTH010011668.1",92.481,1290,80,5,710,1998,62689,63962,0,1829
"30","PGEN_.00g003630::Scaffold_01:9094056-9114982","JAKTTH010010053.1",81.937,382,55,10,18707,19079,85029,84653,5.5e-81,311
"31","PGEN_.00g003650::Scaffold_01:9145366-9176150","JAKTTH010000104.1",76.027,1022,223,15,29633,30643,46750,47760,7.44e-141,510
"32","PGEN_.00g003660::Scaffold_01:9210995-9212617","JAKTTH010000104.1",79.121,728,132,13,731,1457,84402,85110,2.33e-134,484
"33","PGEN_.00g003720::Scaffold_01:9387153-9456089","JAKTTH010005617.1",87.069,116,14,1,7060,7174,96164,96279,5.45e-26,130
"34","PGEN_.00g003890::Scaffold_01:9981218-10004414","JAKTTH010012844.1",84.177,158,19,5,8125,8279,376957,376803,5.06e-32,148
"35","PGEN_.00g003950::Scaffold_01:10084738-10097421","JAKTTH010010762.1",78.033,305,49,10,3505,3796,525786,525487,3.5e-46,195
"36","PGEN_.00g003960::Scaffold_01:10109301-10146767","JAKTTH010006650.1",90.291,206,12,5,33063,33262,30340,30137,2.8e-66,263
"37","PGEN_.00g004020::Scaffold_01:10345340-10378622","JAKTTH010011109.1",85.366,164,22,2,12029,12191,148181,148019,5.58e-38,169
"38","PGEN_.00g004060::Scaffold_01:10624382-10669247","JAKTTH010008397.1",78.01,191,41,1,26850,27040,8349,8538,7.68e-23,119
"39","PGEN_.00g004080::Scaffold_01:10698858-10699187","JAKTTH010007704.1",77.154,267,48,10,69,327,15983,16244,3.06e-32,143
"40","PGEN_.00g004170::Scaffold_01:10862517-10885272","JAKTTH010011330.1",78.908,1081,172,43,4752,5796,92727,93787,0,682
"41","PGEN_.00g004400::Scaffold_01:11291051-11336417","JAKTTH010009484.1",84.615,143,22,0,23502,23644,131324,131466,4.61e-30,143
"42","PGEN_.00g004460::Scaffold_01:11427039-11435852","JAKTTH010011668.1",91.867,1291,86,7,2161,3449,63962,62689,0,1784
"43","PGEN_.00g004510::Scaffold_01:11512219-11578082","JAKTTH010001363.1",82.796,186,24,5,47815,47994,49237,49054,6.65e-35,159
"44","PGEN_.00g004720::Scaffold_01:12044750-12078289","JAKTTH010009508.1",77.496,671,107,38,25991,26631,234,890,2.4e-96,363
"45","PGEN_.00g005150::Scaffold_01:13160924-13194552","JAKTTH010007144.1",85.833,120,13,4,24085,24202,58831,58948,1.24e-24,124
"46","PGEN_.00g005290::Scaffold_01:13459035-13459469","JAKTTH010007556.1",84.106,151,18,5,152,302,312621,312765,1.48e-31,141
"47","PGEN_.00g005480::Scaffold_01:13725578-13827565","JAKTTH010011330.1",79.947,379,62,14,86789,87161,93689,93319,5.89e-67,267
"48","PGEN_.00g005670::Scaffold_01:14385195-14420035","JAKTTH010014751.1",85.625,160,23,0,17571,17730,385283,385442,5.84e-38,169
"49","PGEN_.00g006140::Scaffold_01:15487215-15500399","JAKTTH010010334.1",91,100,9,0,8754,8853,25870,25771,2.24e-28,135
"50","PGEN_.00g006150::Scaffold_01:15509663-15530516","JAKTTH010013888.1",79.535,215,44,0,13005,13219,154267,154481,9.78e-34,154
"51","PGEN_.00g006420::Scaffold_01:16148891-16165027","JAKTTH010014713.1",79.733,449,83,8,6478,6923,571668,571225,2.53e-83,318
"52","PGEN_.00g006800::Scaffold_01:16877837-16886219","JAKTTH010012157.1",73.221,829,200,18,144,961,307938,307121,1.72e-72,281
"53","PGEN_.00g006840::Scaffold_01:16995810-17033348","JAKTTH010003563.1",78.571,266,39,7,14892,15155,274340,274589,3.79e-35,159
"54","PGEN_.00g006890::Scaffold_01:17170891-17235289","JAKTTH010010053.1",79.737,1066,166,40,30105,31144,85033,83992,0,726
"55","PGEN_.00g007090::Scaffold_01:17529642-17545221","JAKTTH010000554.1",81.215,181,19,12,9635,9803,4129,3952,3.42e-27,132
"56","PGEN_.00g007340::Scaffold_01:18195064-18316661","JAKTTH010000216.1",79.252,535,95,10,22098,22621,274004,274533,1.13e-94,359
"57","PGEN_.00g007520::Scaffold_01:18898111-18906973","JAKTTH010015699.1",84.8,125,19,0,1789,1913,183538,183414,9.04e-26,126
"58","PGEN_.00g007860::Scaffold_01:19770707-19772944","JAKTTH010015577.1",84.344,1022,157,3,1,1020,80927,81947,0,998
"59","PGEN_.00g007870::Scaffold_01:19789621-19794144","JAKTTH010015577.1",82.772,1010,172,2,3514,4522,81935,80927,0,900
"60","PGEN_.00g007880::Scaffold_01:19800483-19804989","JAKTTH010015577.1",86.251,1011,137,2,3497,4506,81935,80926,0,1096
"61","PGEN_.00g007980::Scaffold_01:19917223-19928812","JAKTTH010002595.1",81.443,194,35,1,11389,11581,37735,37928,4.2e-35,158
"62","PGEN_.00g008020::Scaffold_01:20037000-20047698","JAKTTH010007590.1",81.481,216,32,6,4609,4821,7878,7668,4.97e-39,171
"63","PGEN_.00g008040::Scaffold_01:20123365-20229166","JAKTTH010011795.1",85.629,167,22,1,32708,32872,5840,6006,3.81e-39,174
"64","PGEN_.00g008090::Scaffold_01:20356918-20368229","JAKTTH010006490.1",74.528,318,70,10,3990,4301,486707,486395,3.21e-26,128
"65","PGEN_.00g008130::Scaffold_01:20558005-20744692","JAKTTH010009320.1",82.201,427,74,2,10265,10690,123748,124173,1.03e-96,366
"66","PGEN_.00g008400::Scaffold_01:21496470-21532736","JAKTTH010009173.1",78.194,720,129,24,3219,3926,73147,73850,5.43e-118,435
"67","PGEN_.00g008540::Scaffold_01:21928303-21978649","JAKTTH010009489.1",77.88,217,48,0,41139,41355,90972,91188,8.56e-28,135
"68","PGEN_.00g008860::Scaffold_01:22975557-23017189","JAKTTH010007217.1",79.208,202,40,2,21603,21803,37781,37981,5.47e-29,139
"69","PGEN_.00g008960::Scaffold_01:23296481-23384286","JAKTTH010001937.1",78.13,1230,213,51,72274,73478,101115,102313,0,730
"70","PGEN_.00g009120::Scaffold_01:23632272-23637760","JAKTTH010008052.1",84.426,122,18,1,4939,5060,395456,395336,9.35e-24,119
"71","PGEN_.00g009180::Scaffold_01:23920149-23924456","JAKTTH010003448.1",77.165,1270,249,27,2032,3294,354759,355994,0,701
"72","PGEN_.00g009230::Scaffold_01:24048829-24086525","JAKTTH010003448.1",88.8,250,24,4,16854,17099,475348,475597,1.66e-78,303
"73","PGEN_.00g009290::Scaffold_01:24158956-24178469","JAKTTH010009508.1",78.904,602,106,20,3288,3880,1037,448,2.3e-104,388
"74","PGEN_.00g009300::Scaffold_01:24181848-24192589","JAKTTH010004748.1",91.351,185,13,3,7886,8069,190250,190432,6.24e-63,250
"75","PGEN_.00g009310::Scaffold_01:24192615-24221593","JAKTTH010004748.1",82.075,212,27,10,2967,3168,197069,197279,1.35e-38,171
"76","PGEN_.00g009350::Scaffold_01:24482481-24508358","JAKTTH010000950.1",88.288,222,26,0,21636,21857,144205,143984,1.49e-67,267
"77","PGEN_.00g009430::Scaffold_01:24673153-24721159","JAKTTH010000526.1",88.824,170,13,5,3574,3740,26058,26224,2.21e-48,204
"78","PGEN_.00g009780::Scaffold_01:25809384-25842969","JAKTTH010008869.1",85.849,106,13,2,7995,8099,195802,195906,9.62e-21,111
"79","PGEN_.00g010430::Scaffold_01:27370716-27445755","JAKTTH010007610.1",78.594,626,105,17,27607,28211,213037,213654,3.19e-103,387
"80","PGEN_.00g010640::Scaffold_01:28175173-28197727","JAKTTH010003950.1",75.253,396,86,11,19510,19899,46987,47376,6.28e-41,178
"81","PGEN_.00g011540::Scaffold_01:29875076-29887372","JAKTTH010008052.1",84.426,122,19,0,7728,7849,395456,395335,5.84e-24,121
"82","PGEN_.00g011620::Scaffold_01:30177164-30276892","JAKTTH010005253.1",78.3,1106,185,46,37141,38217,111309,112388,0,662
"83","PGEN_.00g011630::Scaffold_01:30278618-30297953","JAKTTH010008071.1",86.087,115,16,0,1632,1746,400902,401016,7.11e-25,124
"84","PGEN_.00g011710::Scaffold_01:30496151-30524602","JAKTTH010014713.1",79.129,551,88,17,26976,27509,571690,571150,3.41e-94,355
"85","PGEN_.00g011740::Scaffold_01:30553302-30599610","JAKTTH010010053.1",78.585,509,81,17,32236,32728,84536,85032,1.22e-80,311
"86","PGEN_.00g012330::Scaffold_01:31917649-31949364","JAKTTH010001192.1",89.216,102,8,3,31256,31356,93993,94092,1.17e-24,124
"87","PGEN_.00g012400::Scaffold_01:32128299-32151805","JAKTTH010011097.1",89.17,277,22,6,196,466,153067,153341,2.84e-89,339
"88","PGEN_.00g012420::Scaffold_01:32179515-32197273","JAKTTH010010762.1",88.542,96,10,1,1775,1870,484637,484731,3.93e-22,115
"89","PGEN_.00g012430::Scaffold_01:32201192-32224834","JAKTTH010005046.1",86.577,149,15,4,17054,17200,28785,28640,2.38e-35,159
"90","PGEN_.00g012710::Scaffold_01:32919454-32920854","JAKTTH010000277.1",85.577,104,15,0,1260,1363,99277,99174,1.41e-21,110
"91","PGEN_.00g012910::Scaffold_01:33633935-33685480","JAKTTH010012123.1",82.123,179,32,0,25094,25272,52907,52729,2.42e-33,154
"92","PGEN_.00g013020::Scaffold_01:33857437-33868007","JAKTTH010007710.1",85.217,230,32,2,7221,7448,111703,111932,1.72e-58,235
"93","PGEN_.00g013080::Scaffold_01:34106441-34158275","JAKTTH010003563.1",82.68,306,44,9,23151,23453,274340,274639,3.87e-66,263
"94","PGEN_.00g013290::Scaffold_01:34512421-34532313","JAKTTH010010053.1",86.471,170,23,0,4077,4246,1120355,1120186,9.2e-44,187
"95","PGEN_.00g013370::Scaffold_01:34648322-34677390","JAKTTH010006080.1",77.617,831,137,32,23802,24621,23140,22348,2.58e-125,459
"96","PGEN_.00g013380::Scaffold_01:34687119-34738449","JAKTTH010010053.1",89.259,270,27,2,39768,40036,942172,941904,2.23e-88,337
"97","PGEN_.00g013420::Scaffold_01:34795781-34815410","JAKTTH010011037.1",78.933,731,108,34,9878,10580,6346,7058,2.25e-124,455
"98","PGEN_.00g013530::Scaffold_01:35014550-35022391","JAKTTH010012033.1",77.483,755,124,22,1632,2346,7794,8542,1.97e-111,411
"99","PGEN_.00g013550::Scaffold_01:35035013-35069368","JAKTTH010011143.1",86.207,174,19,5,4463,4634,30100,29930,2.06e-42,183
"100","PGEN_.00g013580::Scaffold_01:35125653-35147046","JAKTTH010008052.1",86.207,116,15,1,18180,18295,395342,395456,7.87e-25,124
"101","PGEN_.00g013960::Scaffold_01:36121116-36155942","JAKTTH010007247.1",86.087,115,13,3,27972,28085,131319,131431,1.66e-23,121
"102","PGEN_.00g014010::Scaffold_01:36380694-36401914","JAKTTH010015125.1",86.667,150,19,1,15570,15719,36299,36151,4.6e-37,165
"103","PGEN_.00g014100::Scaffold_01:36647816-36652793","JAKTTH010002392.1",74.587,484,115,7,4417,4896,193798,194277,6.32e-50,206
"104","PGEN_.00g014240::Scaffold_01:36956462-37080410","JAKTTH010009955.1",82.209,326,50,7,1000,1321,79670,79991,4.28e-69,274
"105","PGEN_.00g014260::Scaffold_01:37127314-37146168","JAKTTH010013449.1",85.401,137,18,2,13723,13858,236369,236504,6.88e-30,141
"106","PGEN_.00g014650::Scaffold_01:38252516-38271727","JAKTTH010009388.1",82.286,175,26,2,1,170,144923,144749,1.51e-31,147
"107","PGEN_.00g014690::Scaffold_01:38459331-38489835","JAKTTH010000216.1",80.101,789,119,27,12760,13529,273764,274533,1.21e-153,553
"108","PGEN_.00g015220::Scaffold_01:40087293-40097368","JAKTTH010011180.1",80.465,215,42,0,63,277,119226,119440,2.18e-37,165
"109","PGEN_.00g015340::Scaffold_01:40323606-40354579","JAKTTH010000687.1",78.168,513,77,28,14946,15434,3742,4243,8.21e-76,294
"110","PGEN_.00g015680::Scaffold_01:41457182-41482710","JAKTTH010012257.1",85.514,214,31,0,23409,23622,84382,84595,9e-55,224
"111","PGEN_.00g015780::Scaffold_01:41876632-41922473","JAKTTH010003563.1",82.105,380,57,11,35273,35648,274267,274639,9.33e-82,315
"112","PGEN_.00g016050::Scaffold_01:42774616-42796347","JAKTTH010012512.1",77.045,440,95,6,13209,13645,101326,101762,4.54e-62,248
"113","PGEN_.00g016060::Scaffold_01:42784240-42793662","JAKTTH010012512.1",77.045,440,95,6,3585,4021,101326,101762,1.97e-62,248
"114","PGEN_.00g016290::Scaffold_01:43515632-43587080","JAKTTH010002460.1",82.131,291,39,7,66998,67281,1173339,1173055,3.24e-58,237
"115","PGEN_.00g016300::Scaffold_01:43662888-43732517","JAKTTH010010053.1",80.514,467,70,17,60865,61320,84576,85032,8.41e-89,339
"116","PGEN_.00g016410::Scaffold_01:43852979-43863088","JAKTTH010007612.1",82.716,162,27,1,3715,3875,124050,123889,1.02e-30,143
"117","PGEN_.00g016570::Scaffold_01:44257157-44308758","JAKTTH010001937.1",80.026,781,127,28,49793,50559,101880,101115,7.35e-153,551
"118","PGEN_.00g016590::Scaffold_01:44345210-44369080","JAKTTH010015646.1",85.283,265,36,2,15022,15283,338358,338094,1.07e-68,270
"119","PGEN_.00g016620::Scaffold_01:44414859-44428661","JAKTTH010015646.1",82.081,173,31,0,1,173,306776,306604,3.01e-32,148
"120","PGEN_.00g016670::Scaffold_01:44522145-44568799","JAKTTH010010053.1",79.138,1021,167,37,6722,7718,85032,84034,0,664
"121","PGEN_.00g016740::Scaffold_01:44696116-44724466","JAKTTH010006703.1",78.03,396,64,15,4167,4556,21969,21591,5.97e-57,231
"122","PGEN_.00g016820::Scaffold_01:45064958-45106456","JAKTTH010004218.1",79.769,173,30,5,8832,9000,122723,122894,1.98e-23,121
"123","PGEN_.00g016860::Scaffold_01:45201848-45213053","JAKTTH010006180.1",78.125,320,67,3,3524,3842,196438,196755,6.65e-48,200
"124","PGEN_.00g016870::Scaffold_01:45329925-45330404","JAKTTH010015577.1",82.96,446,74,2,1,445,81923,81479,6.85e-110,401
"125","PGEN_.00g017010::Scaffold_01:45935267-45945468","JAKTTH010007529.1",86.885,122,16,0,4450,4571,80335,80214,4.81e-29,137
"126","PGEN_.00g017050::Scaffold_01:46060422-46140759","JAKTTH010010053.1",80.035,566,83,25,51403,51951,85034,84482,7.34e-105,392
"127","PGEN_.00g017190::Scaffold_01:46610954-46629296","JAKTTH010007610.1",77.31,617,112,18,11140,11735,213044,213653,2.21e-89,339
"128","PGEN_.00g017280::Scaffold_01:46744784-46747680","JAKTTH010001363.1",82.796,186,24,4,675,854,49237,49054,2.89e-36,159
"129","PGEN_.00g017310::Scaffold_01:46757099-46776661","JAKTTH010001363.1",83.146,178,21,6,592,762,49229,49054,9.17e-34,154
"130","PGEN_.00g017440::Scaffold_01:46952299-46981025","JAKTTH010005576.1",80.751,213,26,12,1302,1508,101619,101822,4.85e-33,152
"131","PGEN_.00g017500::Scaffold_01:47145605-47167411","JAKTTH010012410.1",83.444,151,22,3,7203,7351,66744,66595,1.03e-28,137
"132","PGEN_.00g017540::Scaffold_01:47222452-47229786","JAKTTH010007590.1",84.167,240,28,8,2237,2473,7645,7877,2.58e-55,224
"133","PGEN_.00g017640::Scaffold_01:47411111-47455188","JAKTTH010009721.1",82.374,278,33,11,41505,41772,51711,51982,1.2e-55,228
"134","PGEN_.00g017720::Scaffold_01:47675304-47767008","JAKTTH010002246.1",91.228,114,8,2,109,220,35436,35549,4.31e-33,154
"135","PGEN_.00g017860::Scaffold_01:48136795-48272553","JAKTTH010001937.1",79.393,626,100,27,58074,58684,101726,101115,2.65e-111,414
"136","PGEN_.00g017900::Scaffold_01:48314580-48336920","JAKTTH010000216.1",81.752,137,21,4,21265,21400,274400,274533,6.4e-21,111
"137","PGEN_.00g018130::Scaffold_01:49084777-49108427","JAKTTH010014526.1",81.25,224,35,5,9614,9831,1528,1306,8.51e-40,174
"138","PGEN_.00g018970::Scaffold_01:51303024-51415241","JAKTTH010008965.1",76.534,277,51,13,67269,67539,84929,85197,1.48e-28,139
"139","PGEN_.00g019200::Scaffold_01:52008632-52058486","JAKTTH010010053.1",81.769,735,104,20,1,728,193441,194152,5.41e-164,588
"140","PGEN_.00g019270::Scaffold_01:52262796-52269595","JAKTTH010005576.1",74.926,339,64,13,6091,6420,101819,101493,1.15e-28,135
"141","PGEN_.00g019330::Scaffold_01:52365138-52399513","JAKTTH010013757.1",80.368,326,41,19,11458,11775,6300,6610,3.37e-55,226
"142","PGEN_.00g019400::Scaffold_01:52646081-52675177","JAKTTH010011179.1",87.826,115,14,0,14596,14710,33934,33820,4.94e-28,135
"143","PGEN_.00g019490::Scaffold_01:53080171-53143939","JAKTTH010004573.1",82.126,207,35,2,21814,22020,298180,297976,6.39e-40,176
"144","PGEN_.00g019640::Scaffold_01:53617269-53647483","JAKTTH010011330.1",79.053,993,152,38,26321,27273,92497,93473,5.37e-177,630
"145","PGEN_.00g019680::Scaffold_01:53693160-53709635","JAKTTH010013976.1",79.787,188,27,9,10261,10441,933286,933103,1.68e-25,126
"146","PGEN_.00g019730::Scaffold_01:53965977-54013801","JAKTTH010012032.1",79.61,564,115,0,47036,47599,330749,331312,5.61e-109,405
"147","PGEN_.00g019760::Scaffold_01:54091458-54107147","JAKTTH010012032.1",81.065,169,27,5,7080,7246,403562,403727,1.24e-26,130
"148","PGEN_.00g019970::Scaffold_01:54790810-54799541","JAKTTH010005973.1",85.714,119,17,0,2444,2562,77231,77113,8.91e-26,126
"149","PGEN_.00g020100::Scaffold_01:55062114-55247891","JAKTTH010000216.1",83.333,132,19,3,23885,24015,274343,274472,3.18e-22,119
"150","PGEN_.00g020170::Scaffold_01:55321243-55333418","JAKTTH010005310.1",84.519,239,35,2,5965,6202,105532,105295,1.98e-58,235
"151","PGEN_.00g020510::Scaffold_01:56029696-56030010","JAKTTH010014101.1",87.778,270,29,3,2,269,146185,146452,2.09e-83,313
"152","PGEN_.00g020700::Scaffold_01:56397856-56406232","JAKTTH010007229.1",79.026,267,52,3,7165,7428,7415,7680,6.47e-42,180
"153","PGEN_.00g020860::Scaffold_01:56781648-56796396","JAKTTH010008379.1",89.167,120,9,4,10878,10996,34318,34434,1.16e-31,147
"154","PGEN_.00g021170::Scaffold_01:57270958-57313441","JAKTTH010011251.1",81.818,308,47,5,9567,9873,51352,51651,2.47e-62,250
"155","PGEN_.00g021330::Scaffold_01:57654773-57674949","JAKTTH010002694.1",80.857,350,67,0,19827,20176,127270,126921,1.94e-70,276
"156","PGEN_.00g021430::Scaffold_01:57967952-57986745","JAKTTH010003563.1",81.433,307,40,14,11861,12156,274640,274340,3.06e-58,235
"157","PGEN_.00g021510::Scaffold_01:58374994-58387611","JAKTTH010000554.1",81.074,391,52,16,8551,8923,3757,4143,1.2e-75,292
"158","PGEN_.00g021940::Scaffold_01:59628564-59664565","JAKTTH010004212.1",82.673,202,35,0,22270,22471,98287,98086,2.79e-41,180
"159","PGEN_.00g022130::Scaffold_01:60238838-60256130","JAKTTH010014037.1",75.13,1729,376,42,12958,14646,177454,175740,0,761
"160","PGEN_.00g022170::Scaffold_01:60282934-60308826","JAKTTH010014713.1",79.024,553,93,19,14614,15157,571152,571690,8.63e-95,357
"161","PGEN_.00g022420::Scaffold_01:61131166-61211539","JAKTTH010003014.1",83.486,218,33,3,39966,40182,303702,303487,4.78e-47,200
"162","PGEN_.00g022640::Scaffold_01:61570364-61760544","JAKTTH010007446.1",84.431,167,16,8,176035,176193,307845,308009,2.48e-33,156
"163","PGEN_.00g022750::Scaffold_01:61969703-62002275","JAKTTH010011754.1",78.723,235,48,1,7350,7582,121696,121930,4.25e-34,156
"164","PGEN_.00g022770::Scaffold_01:62043174-62326239","JAKTTH010005562.1",76.54,682,132,18,274183,274861,153507,152851,5.68e-91,348
"165","PGEN_.00g022870::Scaffold_01:62563665-62604162","JAKTTH010010053.1",78.223,1024,164,38,35998,36986,85033,84034,5.65e-168,601
"166","PGEN_.00g022900::Scaffold_01:62703121-62710330","JAKTTH010001079.1",87.463,335,31,6,1771,2099,23529,23858,6.61e-101,375
"167","PGEN_.00g022970::Scaffold_01:62947085-62950492","JAKTTH010012861.1",81.538,195,30,5,2472,2662,53109,52917,4.41e-35,156
"168","PGEN_.00g023040::Scaffold_01:63263585-63314677","JAKTTH010004697.1",89.524,105,11,0,3416,3520,259585,259689,3.12e-27,134
"169","PGEN_.00g023280::Scaffold_01:64106439-64145354","JAKTTH010011138.1",87.736,106,5,8,16651,16753,107587,107687,2.4e-22,117
"170","PGEN_.00g023320::Scaffold_01:64215978-64252168","JAKTTH010011674.1",76.997,313,60,8,33224,33525,30592,30281,6.06e-38,169
"171","PGEN_.00g023370::Scaffold_01:64325442-64363166","JAKTTH010013966.1",80.626,2044,337,39,28772,30769,41589,43619,0,1526
"172","PGEN_.00g023520::Scaffold_01:64816776-64852168","JAKTTH010010053.1",78.756,659,106,25,797,1436,84165,84808,8.93e-111,411
"173","PGEN_.00g023910::Scaffold_01:65947002-66036701","JAKTTH010011334.1",78.598,1327,217,55,70314,71608,33523,32232,0,815
"174","PGEN_.00g023950::Scaffold_01:66125180-66196704","JAKTTH010000554.1",80.508,236,24,17,45358,45575,3908,4139,2.01e-35,161
"175","PGEN_.00g023990::Scaffold_01:66219310-66228413","JAKTTH010015165.1",83.085,201,34,0,8903,9103,30791,30591,5.43e-43,183
"176","PGEN_.00g024270::Scaffold_01:66901394-66927757","JAKTTH010013902.1",81.994,361,63,2,285,644,155745,156104,3.23e-79,305
"177","PGEN_.00g024380::Scaffold_01:67253377-67296854","JAKTTH010012033.1",78.738,856,134,28,2673,3495,7676,8516,2.9e-146,529
"178","PGEN_.00g024430::Scaffold_01:67473867-67503943","JAKTTH010014063.1",85.455,220,32,0,8450,8669,229866,230085,2.28e-56,230
"179","PGEN_.00g024490::Scaffold_01:67591513-67604014","JAKTTH010005224.1",76.3,1519,321,30,9684,11172,126652,128161,0,774
"180","PGEN_.00g024500::Scaffold_01:67619819-67668239","JAKTTH010014063.1",85.821,134,19,0,16603,16736,484408,484541,4.92e-30,143
"181","PGEN_.00g024520::Scaffold_01:67734635-67748271","JAKTTH010014063.1",75.695,1115,245,22,45,1146,547523,548624,1.95e-148,534
"182","PGEN_.00g024540::Scaffold_01:67767963-67786196","JAKTTH010014063.1",87.248,149,18,1,16911,17059,576371,576518,3.05e-38,169
"183","PGEN_.00g024580::Scaffold_01:68009505-68050714","JAKTTH010014063.1",83.333,156,24,2,6324,6479,599598,599751,4.19e-30,143
"184","PGEN_.00g024760::Scaffold_01:68638204-68659974","JAKTTH010006128.1",85.119,168,25,0,12424,12591,21304,21471,2.82e-39,172
"185","PGEN_.00g024790::Scaffold_01:68702337-68721210","JAKTTH010001363.1",82.258,186,25,4,1144,1323,49237,49054,8.85e-34,154
"186","PGEN_.00g024910::Scaffold_01:69189710-69213901","JAKTTH010008052.1",86.207,116,15,1,4878,4993,395456,395342,8.9e-25,124
"187","PGEN_.00g025030::Scaffold_01:69375893-69492472","JAKTTH010000452.1",79.581,191,33,6,74054,74239,45296,45107,2.56e-26,132
"188","PGEN_.00g025040::Scaffold_01:69502178-69525759","JAKTTH010000216.1",78.224,473,82,13,11794,12250,274533,274066,3.73e-78,302
"189","PGEN_.00g025100::Scaffold_01:69691912-69771035","JAKTTH010011774.1",84.585,253,31,5,22120,22366,140040,140290,2.14e-60,244
"190","PGEN_.00g025330::Scaffold_01:70203671-70222268","JAKTTH010010053.1",79.417,617,92,23,15831,16427,85035,84434,7.84e-109,403
"191","PGEN_.00g025510::Scaffold_01:70634316-70712415","JAKTTH010013207.1",79.583,480,94,4,15117,15594,143761,144238,2.62e-89,340
"192","PGEN_.00g025520::Scaffold_01:70724715-70735910","JAKTTH010003782.1",74.664,1042,228,25,570,1592,1131594,1130570,7.78e-117,429
