"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"27","PGEN_.00g002580::Scaffold_01:6245646-6316687","CM026396.1",88.182,110,9,4,18624,18732,7925864,7925970,2.22e-25,128
"28","PGEN_.00g002700::Scaffold_01:6604833-6621571","CM026396.1",81.333,150,22,5,3738,3884,8012628,8012774,1.13e-22,117
"29","PGEN_.00g002750::Scaffold_01:6722689-6757020","CM026397.1",80.1,201,27,12,26911,27105,16338908,16339101,1.78e-28,137
"30","PGEN_.00g002990::Scaffold_01:7458304-7488684","CM026395.1",88.11,328,32,2,15721,16048,53759632,53759312,1.83e-102,383
"31","PGEN_.00g003030::Scaffold_01:7562643-7588941","CM026396.1",93.421,76,5,0,3098,3173,7925939,7925864,2.3e-21,113
"32","PGEN_.00g003050::Scaffold_01:7617215-7666227","CM026398.1",79.104,201,27,13,9835,10028,3089623,3089815,1.98e-24,124
"33","PGEN_.00g003090::Scaffold_01:7724467-7746714","CM026396.1",93.59,78,4,1,20182,20258,7925944,7925867,5.4e-22,115
"34","PGEN_.00g003120::Scaffold_01:7805957-7815163","CM026390.1",83.756,788,95,22,5443,6224,58003365,58004125,0,715
"35","PGEN_.00g003140::Scaffold_01:7841125-7887077","CM026404.1",81.152,191,23,10,41384,41566,80376990,80376805,1.84e-29,141
"36","PGEN_.00g003190::Scaffold_01:8000690-8023490","CM026396.1",90.323,93,9,0,7038,7130,8012662,8012754,3.31e-24,122
"37","PGEN_.00g003340::Scaffold_01:8264242-8310374","CM026387.1",81.928,166,26,3,22101,22266,67967576,67967737,2.39e-28,137
"38","PGEN_.00g003470::Scaffold_01:8593161-8623276","CM026404.1",80.12,166,27,6,13516,13678,56991764,56991602,5.66e-23,119
"39","PGEN_.00g003480::Scaffold_01:8625768-8681145","CM026404.1",80.513,195,31,7,50976,51165,78116950,78117142,6.17e-30,143
"40","PGEN_.00g003610::Scaffold_01:9049580-9053771","CM026396.1",92.724,1553,95,7,723,2274,37238993,37237458,0,2226
"41","PGEN_.00g003620::Scaffold_01:9065572-9091868","CM026397.1",93.805,113,6,1,24591,24703,83606323,83606212,4.83e-38,169
"42","PGEN_.00g003650::Scaffold_01:9145366-9176150","CM026397.1",76.976,1025,215,15,29633,30648,83148020,83149032,1.72e-157,566
"43","PGEN_.00g003660::Scaffold_01:9210995-9212617","CM026397.1",78.062,743,143,12,699,1440,83453803,83454526,2.6e-124,451
"44","PGEN_.00g003710::Scaffold_01:9354818-9374260","CM026404.1",80.435,184,28,8,7740,7919,52609102,52609281,1.3e-27,134
"45","PGEN_.00g003720::Scaffold_01:9387153-9456089","CM026397.1",83.942,137,19,3,7060,7194,18098073,18098208,2.15e-25,128
"46","PGEN_.00g003840::Scaffold_01:9890189-9890569","CM026397.1",83.784,333,38,16,6,338,90379037,90379353,6.12e-80,302
"47","PGEN_.00g004020::Scaffold_01:10345340-10378622","CM026397.1",85.455,165,20,3,12029,12191,54687106,54686944,6.12e-38,169
"48","PGEN_.00g004060::Scaffold_01:10624382-10669247","CM026386.1",85.345,116,14,3,34271,34384,49882272,49882158,3.03e-22,117
"49","PGEN_.00g004260::Scaffold_01:11020714-11077206","CM026397.1",83.571,140,23,0,45585,45724,48456860,48456721,1.36e-26,132
"50","PGEN_.00g004280::Scaffold_01:11098949-11126653","CM026397.1",95,80,2,2,9717,9796,35270880,35270803,1.12e-24,124
"51","PGEN_.00g004390::Scaffold_01:11227692-11282198","CM026394.1",79.235,183,29,8,11524,11701,22963872,22964050,1.02e-22,119
"52","PGEN_.00g004400::Scaffold_01:11291051-11336417","CM026397.1",84.916,179,25,2,10125,10302,11111565,11111388,3.85e-41,180
"53","PGEN_.00g004420::Scaffold_01:11344911-11370484","CM026401.1",78.075,187,33,8,2488,2670,50964260,50964078,8.03e-21,111
"54","PGEN_.00g004460::Scaffold_01:11427039-11435852","CM026396.1",92.553,1410,93,6,2030,3436,37237593,37238993,0,2012
"55","PGEN_.00g004510::Scaffold_01:11512219-11578082","CM026403.1",90.654,107,8,2,33850,33955,21152657,21152762,2.64e-29,141
"56","PGEN_.00g004690::Scaffold_01:11962630-12021181","CM026396.1",88.785,107,9,3,32660,32765,7925866,7925970,1.83e-25,128
"57","PGEN_.00g004830::Scaffold_01:12421414-12459019","CM026396.1",83.007,153,19,7,6439,6588,8012627,8012775,9.07e-27,132
"58","PGEN_.00g004860::Scaffold_01:12561934-12572343","CM026396.1",89.623,106,10,1,6663,6768,7925866,7925970,6.97e-28,134
"59","PGEN_.00g004940::Scaffold_01:12666698-12696509","CM026403.1",87.037,108,12,2,1034,1141,21152762,21152657,1.56e-23,121
"60","PGEN_.00g005330::Scaffold_01:13485794-13514307","CM026391.1",77.801,946,166,31,5477,6409,40682039,40681125,7.45e-151,544
"61","PGEN_.00g005480::Scaffold_01:13725578-13827565","CM026397.1",90.533,169,16,0,68780,68948,55853447,55853279,3.95e-54,224
"62","PGEN_.00g005670::Scaffold_01:14385195-14420035","CM026397.1",83.482,224,34,3,11115,11336,56688158,56687936,4.88e-49,206
"63","PGEN_.00g006160::Scaffold_01:15537320-15581341","CM026399.1",78.405,301,39,9,36155,36432,37940193,37939896,6.26e-39,172
"64","PGEN_.00g006420::Scaffold_01:16148891-16165027","CM026399.1",83.019,159,25,2,2210,2367,37943490,37943333,1.8e-30,143
"65","PGEN_.00g006600::Scaffold_01:16530105-16530803","CM026397.1",78.416,644,133,4,1,641,64026623,64027263,1.43e-113,414
"66","PGEN_.00g006610::Scaffold_01:16606675-16619655","CM026395.1",88.333,360,29,7,178,537,53759286,53759632,5.96e-114,420
"67","PGEN_.00g006650::Scaffold_01:16697158-16697649","CM026389.1",88.93,271,28,2,3,273,10765204,10765472,2.85e-89,333
"68","PGEN_.00g006800::Scaffold_01:16877837-16886219","CM026390.1",74.138,290,73,2,247,535,80803217,80803505,1.57e-23,119
"69","PGEN_.00g006890::Scaffold_01:17170891-17235289","CM026396.1",94.253,87,5,0,29693,29779,7925952,7925866,4.32e-27,134
"70","PGEN_.00g007070::Scaffold_01:17467961-17488697","CM026403.1",77.778,234,38,9,5575,5807,21152735,21152515,5e-27,132
"71","PGEN_.00g007160::Scaffold_01:17623479-17640972","CM026403.1",84.914,232,22,5,11400,11630,32061950,32061731,2.43e-54,222
"72","PGEN_.00g007210::Scaffold_01:17732425-17733886","CM026402.1",78.756,193,31,9,310,497,11740896,11741083,7.48e-25,121
"73","PGEN_.00g007220::Scaffold_01:17739519-17770571","CM026397.1",79.705,271,40,8,24148,24415,1296739,1296997,7.33e-42,182
"74","PGEN_.00g007300::Scaffold_01:17915518-18009266","CM026397.1",82.447,188,29,4,11442,11627,77692917,77692732,2.89e-35,161
"75","PGEN_.00g007340::Scaffold_01:18195064-18316661","CM026403.1",86.792,106,14,0,65819,65924,21152657,21152762,2.29e-22,119
"76","PGEN_.00g007520::Scaffold_01:18898111-18906973","CM026397.1",91.129,124,11,0,1790,1913,51661367,51661244,1.63e-38,169
"77","PGEN_.00g007540::Scaffold_01:18966509-18989939","CM026403.1",84.756,164,21,4,9912,10075,62653450,62653609,7.21e-36,161
"78","PGEN_.00g007610::Scaffold_01:19060027-19081148","CM026396.1",93.671,79,5,0,1940,2018,7925944,7925866,3.96e-23,119
"79","PGEN_.00g007630::Scaffold_01:19091702-19128324","CM026396.1",88.785,107,9,3,14928,15033,7925970,7925866,1.14e-25,128
"80","PGEN_.00g007760::Scaffold_01:19521443-19550452","CM026402.1",81.111,180,21,12,1663,1835,57813128,57813301,7e-27,132
"81","PGEN_.00g007860::Scaffold_01:19770707-19772944","CM026397.1",81.046,1013,186,6,1,1010,44784635,44785644,0,802
"82","PGEN_.00g007870::Scaffold_01:19789621-19794144","CM026397.1",80.435,1012,196,2,3513,4523,44785644,44784634,0,771
"83","PGEN_.00g007880::Scaffold_01:19800483-19804989","CM026397.1",83.021,1013,166,6,3496,4505,44785644,44784635,0,913
"84","PGEN_.00g007920::Scaffold_01:19812530-19812871","CM026397.1",76.338,355,53,17,1,338,90379272,90379612,9.64e-38,161
"85","PGEN_.00g008010::Scaffold_01:20016635-20031771","CM026396.1",89.72,107,8,3,10141,10246,7925970,7925866,1.01e-27,134
"86","PGEN_.00g008020::Scaffold_01:20037000-20047698","CM026404.1",77.835,194,39,4,2475,2666,56991764,56991573,7.21e-23,117
"87","PGEN_.00g008060::Scaffold_01:20237039-20254841","CM026386.1",80.226,177,27,7,12601,12775,14210336,14210166,2e-25,126
"88","PGEN_.00g008070::Scaffold_01:20287090-20320408","CM026404.1",82.632,190,25,8,11936,12121,52609097,52609282,1.03e-35,161
"89","PGEN_.00g008110::Scaffold_01:20446847-20482089","CM026390.1",85.405,185,26,1,26758,26941,57167516,57167332,1.38e-44,191
"90","PGEN_.00g008130::Scaffold_01:20558005-20744692","CM026402.1",79.365,189,28,11,4595,4777,28265625,28265442,2.71e-23,122
"91","PGEN_.00g008320::Scaffold_01:21212688-21264751","CM026393.1",80.403,546,99,7,44100,44641,11620433,11620974,5.18e-110,409
"92","PGEN_.00g008350::Scaffold_01:21319948-21335950","CM026396.1",82.682,179,20,9,13647,13816,45091574,45091398,3.83e-32,148
"93","PGEN_.00g008360::Scaffold_01:21338425-21367366","CM026401.1",77.686,242,42,10,20851,21087,32829477,32829243,1.5e-28,137
"94","PGEN_.00g008370::Scaffold_01:21376381-21389902","CM026404.1",80.556,180,31,4,1882,2059,56991585,56991762,2.52e-28,135
"95","PGEN_.00g008400::Scaffold_01:21496470-21532736","CM026397.1",78.246,285,44,11,25022,25302,1296711,1296981,2.4e-37,167
"96","PGEN_.00g008430::Scaffold_01:21564229-21578543","CM026395.1",78.571,196,33,9,10329,10520,70456628,70456438,7.46e-24,121
"97","PGEN_.00g008440::Scaffold_01:21585946-21604800","CM026397.1",79.891,184,29,7,1163,1342,64200913,64201092,5.88e-26,128
"98","PGEN_.00g008540::Scaffold_01:21928303-21978649","CM026397.1",85.833,120,17,0,36484,36603,20442022,20441903,1.57e-25,128
"99","PGEN_.00g008560::Scaffold_01:22040027-22128884","CM026394.1",80.513,195,24,12,25049,25237,6721587,6721401,4.61e-28,137
"100","PGEN_.00g008590::Scaffold_01:22151998-22189133","CM026404.1",79.581,191,32,7,24759,24945,56991764,56991577,3.22e-26,130
"101","PGEN_.00g008640::Scaffold_01:22264926-22276434","CM026403.1",91.566,83,6,1,7262,7344,21152738,21152657,1e-21,113
"102","PGEN_.00g008660::Scaffold_01:22301034-22383392","CM026397.1",87.387,111,7,7,28980,29088,82627193,82627298,4.3e-23,121
"103","PGEN_.00g008730::Scaffold_01:22608961-22692162","CM026404.1",80,195,29,10,18732,18921,51445546,51445357,1.55e-27,135
"104","PGEN_.00g008850::Scaffold_01:22942938-22960419","CM026388.1",82.258,186,24,9,11464,11645,46133216,46133036,3.23e-33,152
"105","PGEN_.00g008860::Scaffold_01:22975557-23017189","CM026395.1",79.878,164,25,8,19618,19777,39894822,39894663,3.64e-21,113
"106","PGEN_.00g009230::Scaffold_01:24048829-24086525","CM026397.1",89.965,289,24,3,16815,17099,25109871,25109584,6.37e-98,368
"107","PGEN_.00g009290::Scaffold_01:24158956-24178469","CM026386.1",79.213,178,27,10,9169,9340,46137785,46137958,4.74e-22,115
"108","PGEN_.00g009300::Scaffold_01:24181848-24192589","CM026388.1",91.824,159,12,1,7894,8052,39326134,39326291,5.36e-54,220
"109","PGEN_.00g009310::Scaffold_01:24192615-24221593","CM026388.1",87.597,129,16,0,19976,20104,39383442,39383570,1.93e-32,150
"110","PGEN_.00g009330::Scaffold_01:24363955-24386887","CM026403.1",82.875,981,157,6,17592,18563,38146370,38147348,0,870
"111","PGEN_.00g009410::Scaffold_01:24615409-24652149","CM026404.1",80.978,184,29,6,1152,1332,9093207,9093027,1.47e-29,141
"112","PGEN_.00g009430::Scaffold_01:24673153-24721159","CM026386.1",87.952,166,17,3,3574,3737,22534979,22535143,5.24e-45,193
"113","PGEN_.00g009550::Scaffold_01:25112576-25142107","CM026398.1",80.203,197,29,10,9753,9943,65909085,65909277,4.26e-29,139
"114","PGEN_.00g009750::Scaffold_01:25652113-25675019","CM026401.1",80.214,187,30,6,20442,20623,50964076,50964260,1.54e-27,134
"115","PGEN_.00g009780::Scaffold_01:25809384-25842969","CM026403.1",88.679,106,11,1,21950,22054,21152657,21152762,1.05e-25,128
"116","PGEN_.00g009850::Scaffold_01:26008987-26015546","CM026391.1",78.07,342,57,16,4067,4398,69814259,69814592,4.26e-48,200
"117","PGEN_.00g009860::Scaffold_01:26015696-26021552","CM026386.1",81.081,148,22,6,1390,1535,59109134,59108991,5.09e-22,113
"118","PGEN_.00g009880::Scaffold_01:26124057-26180873","CM026397.1",79.098,244,51,0,7132,7375,38050222,38049979,1.05e-37,169
"119","PGEN_.00g009910::Scaffold_01:26346623-26370612","JABXNX010000038.1",78.713,202,30,13,21477,21672,104180,103986,3.48e-24,122
"120","PGEN_.00g010150::Scaffold_01:26881599-26959736","CM026403.1",88.785,107,10,2,71460,71565,21152762,21152657,6.78e-26,130
"121","PGEN_.00g010220::Scaffold_01:27040980-27041450","CM026395.1",81.762,488,67,12,2,468,39323811,39324297,5.72e-106,388
"122","PGEN_.00g010400::Scaffold_01:27287195-27319844","CM026400.1",79.27,685,128,12,26506,27184,2217568,2216892,1.9e-127,466
"123","PGEN_.00g010410::Scaffold_01:27313121-27314320","CM026400.1",79.936,623,112,11,580,1197,2217568,2216954,8.88e-123,446
"124","PGEN_.00g010420::Scaffold_01:27332062-27360470","CM026396.1",89.091,110,9,3,24202,24310,7925973,7925866,1.91e-27,134
"125","PGEN_.00g010430::Scaffold_01:27370716-27445755","CM026399.1",83.911,1038,152,13,27380,28413,16664484,16663458,0,977
"126","PGEN_.00g010500::Scaffold_01:27875031-27890847","CM026397.1",82.109,313,46,5,15164,15467,78338017,78337706,1.68e-65,259
"127","PGEN_.00g010620::Scaffold_01:28057259-28084791","CM026396.1",90,100,10,0,20814,20913,7925866,7925965,2.39e-26,130
"128","PGEN_.00g010640::Scaffold_01:28175173-28197727","CM026397.1",80.829,386,64,5,19510,19886,78337708,78338092,6.55e-76,294
"129","PGEN_.00g010860::Scaffold_01:28632099-28639535","CM026392.1",88.767,454,46,4,2537,2987,49456460,49456009,1.16e-153,551
"130","PGEN_.00g010890::Scaffold_01:28693266-28716771","CM026391.1",77.536,276,41,16,15441,15707,6151948,6151685,2.02e-31,147
"131","PGEN_.00g010970::Scaffold_01:28799007-28814917","CM026396.1",78.571,210,33,9,13631,13836,7925951,7925750,4.96e-26,128
"132","PGEN_.00g011620::Scaffold_01:30177164-30276892","CM026403.1",85.849,106,15,0,70390,70495,21152657,21152762,8.72e-21,113
"133","PGEN_.00g011720::Scaffold_01:30524812-30536166","CM026396.1",91.304,92,8,0,10100,10191,7925866,7925957,1.27e-25,126
"134","PGEN_.00g011740::Scaffold_01:30553302-30599610","JABXNX010003858.1",79.275,193,25,15,44432,44616,14608,14423,2.42e-23,121
"135","PGEN_.00g011800::Scaffold_01:30742143-30749166","CM026388.1",76.897,290,46,14,2275,2556,3686387,3686111,2.17e-31,145
"136","PGEN_.00g011940::Scaffold_01:31018017-31023606","CM026396.1",89.72,107,8,3,4303,4408,7925970,7925866,3.73e-28,134
"137","PGEN_.00g012030::Scaffold_01:31168183-31189817","CM026396.1",90.217,92,9,0,14726,14817,7925866,7925957,1.13e-23,121
"138","PGEN_.00g012160::Scaffold_01:31616745-31657629","CM026404.1",87.903,124,15,0,16728,16851,85822808,85822685,3.52e-31,147
"139","PGEN_.00g012190::Scaffold_01:31765073-31790958","CM026404.1",86.164,159,22,0,4078,4236,85618012,85617854,3.68e-39,172
"140","PGEN_.00g012400::Scaffold_01:32128299-32151805","CM026393.1",80.24,167,19,11,5622,5780,22502557,22502717,2.05e-21,113
"141","PGEN_.00g012500::Scaffold_01:32383423-32398599","CM026396.1",79.751,321,65,0,1421,1741,38036984,38037304,9.74e-58,233
"142","PGEN_.00g012780::Scaffold_01:33296824-33414854","CM026395.1",88.515,357,24,9,13049,13402,75643089,75643431,7.02e-112,416
"143","PGEN_.00g012820::Scaffold_01:33441295-33442056","CM026397.1",78.986,690,93,39,3,691,90379662,90379024,2.6e-116,424
"144","PGEN_.00g012910::Scaffold_01:33633935-33685480","CM026404.1",80.263,228,44,1,41829,42056,666385,666159,2.64e-38,171
"145","PGEN_.00g013080::Scaffold_01:34106441-34158275","CM026387.1",80.899,178,28,5,28870,29044,56535737,56535563,9.67e-28,135
"146","PGEN_.00g013340::Scaffold_01:34598904-34633046","CM026404.1",80.189,212,40,2,24495,24705,47290914,47290704,1.36e-34,158
"147","PGEN_.00g013380::Scaffold_01:34687119-34738449","CM026404.1",81.522,184,25,8,825,1005,47706570,47706393,5.72e-30,143
"148","PGEN_.00g013530::Scaffold_01:35014550-35022391","CM026399.1",84.219,640,77,9,1632,2251,16663840,16664475,1.2e-168,601
"149","PGEN_.00g013860::Scaffold_01:35771821-35794668","CM026389.1",78.723,188,32,8,21239,21422,15413454,15413637,4.29e-23,119
"150","PGEN_.00g014110::Scaffold_01:36654025-36663027","CM026404.1",89.623,106,11,0,5867,5972,84302261,84302366,1.67e-28,135
"151","PGEN_.00g014210::Scaffold_01:36914768-36929523","CM026403.1",83.221,149,19,6,13146,13291,21152762,21152617,3.55e-27,132
"152","PGEN_.00g014240::Scaffold_01:36956462-37080410","CM026404.1",81.029,311,59,0,1000,1310,90774183,90774493,2.85e-61,248
"153","PGEN_.00g014370::Scaffold_01:37277926-37336883","CM026404.1",81.132,159,28,2,49550,49707,83495707,83495550,6.62e-25,126
"154","PGEN_.00g014630::Scaffold_01:38059667-38113107","CM026404.1",82.192,146,23,2,36696,36841,74985494,74985636,7.76e-24,122
"155","PGEN_.00g014720::Scaffold_01:38617325-38627198","CM026390.1",80.203,197,31,8,8039,8230,59857268,59857461,3.95e-30,141
"156","PGEN_.00g014780::Scaffold_01:38691826-38776991","CM026388.1",79.57,186,34,4,8310,8493,34457606,34457423,7.39e-26,130
"157","PGEN_.00g014830::Scaffold_01:38944509-38958175","CM026390.1",81.675,191,26,9,4131,4316,59857271,59857457,9.09e-33,150
"158","PGEN_.00g015030::Scaffold_01:39335348-39379451","CM026396.1",75.725,276,45,21,17749,18011,7925944,7925678,8.28e-23,119
"159","PGEN_.00g015110::Scaffold_01:39676276-39683202","CM026404.1",79.191,173,24,9,2126,2288,17499759,17499589,7.8e-21,110
"160","PGEN_.00g015310::Scaffold_01:40287575-40304036","CM026397.1",78.866,194,31,10,12266,12455,49519701,49519514,2.39e-24,122
"161","PGEN_.00g015390::Scaffold_01:40436532-40450735","CM026399.1",75.769,260,61,2,7205,7463,12825517,12825259,1.23e-26,130
"162","PGEN_.00g015420::Scaffold_01:40520658-40584154","CM026396.1",87.963,108,10,3,51746,51852,7925867,7925972,2.56e-24,124
"163","PGEN_.00g015630::Scaffold_01:41140009-41160663","CM026404.1",71.907,1374,370,16,261,1626,79110952,79112317,3.46e-103,385
"164","PGEN_.00g015740::Scaffold_01:41661734-41689565","CM026395.1",75.146,1195,262,23,7720,8902,36907197,36908368,2.04e-146,529
"165","PGEN_.00g015780::Scaffold_01:41876632-41922473","CM026404.1",81.006,179,28,6,23192,23367,56991759,56991584,2.38e-28,137
"166","PGEN_.00g015800::Scaffold_01:42028001-42054472","CM026404.1",79.907,214,28,15,23364,23571,80376784,80376988,2.95e-30,143
"167","PGEN_.00g015870::Scaffold_01:42174022-42262223","CM026403.1",78.756,193,27,12,10611,10794,15593425,15593612,5.96e-22,117
"168","PGEN_.00g015880::Scaffold_01:42262755-42327714","CM026390.1",81.978,455,68,11,53871,54321,98669816,98669372,2.36e-99,374
"169","PGEN_.00g016050::Scaffold_01:42774616-42796347","CM026404.1",76.327,245,46,9,13224,13465,39026784,39027019,1.13e-23,121
"170","PGEN_.00g016060::Scaffold_01:42784240-42793662","CM026404.1",76.327,245,46,9,3600,3841,39026784,39027019,4.91e-24,121
"171","PGEN_.00g016290::Scaffold_01:43515632-43587080","CM026404.1",79.352,247,45,5,132,375,49479715,49479958,1.31e-37,169
"172","PGEN_.00g016330::Scaffold_01:43751058-43764779","CM026390.1",92.157,102,5,3,2495,2595,12980685,12980784,5.49e-30,141
"173","PGEN_.00g016500::Scaffold_01:43992638-44091407","CM026390.1",81.85,1730,254,47,38250,39976,72275836,72274164,0,1415
"174","PGEN_.00g017000::Scaffold_01:45882833-45896255","CM026401.1",78.919,185,33,6,8855,9036,50964259,50964078,7e-24,121
"175","PGEN_.00g017020::Scaffold_01:46016105-46036814","CM026403.1",87.85,107,13,0,14571,14677,21152657,21152763,2.32e-25,126
"176","PGEN_.00g017070::Scaffold_01:46195246-46202441","CM026402.1",87.17,265,29,3,3565,3826,34917198,34916936,5.8e-77,296
"177","PGEN_.00g017130::Scaffold_01:46402563-46428205","CM026404.1",80.952,189,27,9,11565,11748,1720798,1720982,1.03e-29,141
"178","PGEN_.00g017170::Scaffold_01:46502223-46579566","CM026390.1",79.787,188,29,9,47522,47704,59857275,59857458,2.41e-25,128
"179","PGEN_.00g017190::Scaffold_01:46610954-46629296","CM026399.1",84.073,1036,149,11,10908,11938,16664482,16663458,0,985
"180","PGEN_.00g017720::Scaffold_01:47675304-47767008","CM026404.1",86.331,139,17,2,83,220,51953868,51953731,6.11e-32,150
"181","PGEN_.00g017860::Scaffold_01:48136795-48272553","CM026395.1",80.105,191,26,12,23090,23274,30318245,30318061,3.28e-26,132
"182","PGEN_.00g017930::Scaffold_01:48389852-48414339","CM026404.1",81.421,183,32,2,13253,13434,65885021,65885202,5.86e-32,148
"183","PGEN_.00g017980::Scaffold_01:48453276-48465628","CM026403.1",79.581,191,27,11,1325,1509,28457148,28456964,1.38e-25,126
"184","PGEN_.00g018000::Scaffold_01:48558582-48587007","CM026404.1",83.537,164,15,9,15264,15422,67172626,67172782,3.17e-30,143
"185","PGEN_.00g018010::Scaffold_01:48596642-48611029","CM026402.1",80,195,33,6,8727,8918,28103138,28102947,2.07e-29,139
"186","PGEN_.00g018070::Scaffold_01:48841477-48856905","CM026401.1",78.462,195,32,4,2313,2505,12665985,12666171,2.89e-23,119
"187","PGEN_.00g018160::Scaffold_01:49183247-49188772","CM026401.1",81.183,186,28,7,3688,3869,50964260,50964078,6.13e-31,143
"188","PGEN_.00g018190::Scaffold_01:49219774-49223234","CM026404.1",79.679,187,33,5,931,1115,55726196,55726379,2.98e-27,130
"189","PGEN_.00g018330::Scaffold_01:49556609-49591107","CM026391.1",79.459,185,32,6,12859,13040,24948288,24948107,3.87e-25,126
"190","PGEN_.00g018340::Scaffold_01:49593319-49605976","CM026387.1",79.275,193,26,14,2633,2817,23414132,23413946,1.83e-24,122
"191","PGEN_.00g018400::Scaffold_01:49724335-49731311","CM026403.1",81.56,141,20,5,3716,3851,36913253,36913114,2.18e-21,111
"192","PGEN_.00g018480::Scaffold_01:49912797-49924949","CM026403.1",87.85,107,11,2,6025,6130,21152762,21152657,4.9e-25,124
"193","PGEN_.00g018750::Scaffold_01:50696065-50743858","CM026392.1",81.41,156,21,8,26038,26189,25000622,25000471,2.5e-23,121
"194","PGEN_.00g018860::Scaffold_01:50925808-50942879","CM026396.1",76.604,265,48,11,2352,2604,7925971,7925709,1.14e-27,134
"195","PGEN_.00g018970::Scaffold_01:51303024-51415241","CM026402.1",79.293,198,32,8,23275,23468,24713322,24713514,9.74e-26,130
"196","PGEN_.00g018980::Scaffold_01:51415754-51416950","CM026404.1",80,200,40,0,1,200,33552140,33552339,2.8e-33,148
"197","PGEN_.00g019030::Scaffold_01:51630175-51667895","CM026393.1",79.71,207,28,11,1595,1792,11817151,11817352,1.96e-28,137
"198","PGEN_.00g019070::Scaffold_01:51725344-51742133","CM026404.1",85.256,156,20,3,10616,10768,7145835,7145990,6.68e-35,158
"199","PGEN_.00g019150::Scaffold_01:51866081-51912115","CM026387.1",80.328,183,28,8,8401,8579,20392765,20392587,1.11e-26,132
"200","PGEN_.00g019200::Scaffold_01:52008632-52058486","CM026404.1",80.328,732,119,17,1,728,43868251,43868961,1.02e-146,531
