"","gene","Scaffold","V2","V3","V4","V5","V6","V7","V8","V9","V10","e-value","V12"
"15","PGEN_.00g000490","Scaffold_01:1042400-1066675","NC_069374.1",78.082,219,43,5,18728,18943,35217619,35217835,1.96e-27,134
"16","PGEN_.00g000520","Scaffold_01:1105662-1112517","NC_069368.1",88.276,145,17,0,6258,6402,68856811,68856955,3.25e-40,174
"17","PGEN_.00g000530","Scaffold_01:1119467-1128894","NC_069369.1",82.117,274,45,4,1702,1973,10675786,10675515,2.62e-57,231
"18","PGEN_.00g000540","Scaffold_01:1129780-1201223","NC_069373.1",82.514,183,30,2,45834,46016,62960940,62961120,9.52e-35,159
"19","PGEN_.00g000670","Scaffold_01:1389639-1400328","NC_069363.1",82.298,322,57,0,5424,5745,53607187,53606866,1.04e-71,279
"20","PGEN_.00g000680","Scaffold_01:1402133-1405997","NC_069361.1",88.532,218,25,0,3083,3300,65563576,65563359,1.05e-67,265
"21","PGEN_.00g000790","Scaffold_01:1558681-1570002","NC_069369.1",83.158,285,44,4,1446,1728,10675516,10675798,5.19e-65,257
"22","PGEN_.00g000950","Scaffold_01:1873971-1892032","NC_069369.1",84.118,170,22,3,16111,16279,29590376,29590211,2.4e-35,159
"23","PGEN_.00g000970","Scaffold_01:1970367-1991359","NC_069363.1",87.805,123,13,2,17337,17458,20031290,20031169,2.81e-30,143
"24","PGEN_.00g000980","Scaffold_01:2015518-2047143","NC_069369.1",85.714,273,35,4,7339,7609,10675786,10675516,6.66e-73,285
"25","PGEN_.00g001000","Scaffold_01:2058418-2067040","NC_069373.1",86.603,209,25,3,3819,4026,72398192,72398398,3.09e-56,228
"26","PGEN_.00g001030","Scaffold_01:2129680-2143865","NC_069362.1",86.916,214,24,2,11304,11517,114845754,114845963,8.47e-59,237
"27","PGEN_.00g001040","Scaffold_01:2152425-2166737","NC_069369.1",79.31,174,30,3,6153,6321,66125866,66126038,1.16e-22,117
"28","PGEN_.00g001080","Scaffold_01:2184093-2211336","NC_069364.1",77.728,449,83,9,20388,20833,25800716,25800282,3.48e-65,259
"29","PGEN_.00g001140","Scaffold_01:2257307-2316262","NC_069369.1",84.615,286,40,4,46313,46596,10675798,10675515,1.61e-71,281
"30","PGEN_.00g001170","Scaffold_01:2366888-2417042","NC_069377.1",80.412,291,47,9,10126,10407,73303253,73303542,5.05e-51,213
"31","PGEN_.00g001180","Scaffold_01:2421491-2424493","NC_069374.1",80.114,176,29,2,1961,2130,52727990,52727815,4.02e-26,126
"32","PGEN_.00g001210","Scaffold_01:2577228-2600155","NC_069375.1",82.313,294,42,5,19797,20080,45744234,45744527,2.28e-61,246
"33","PGEN_.00g001310","Scaffold_01:2708387-2715800","NC_069376.1",87.05,139,18,0,4948,5086,16812088,16812226,3.54e-35,158
"34","PGEN_.00g001390","Scaffold_01:2888353-2905488","NC_069374.1",81.595,163,22,6,12630,12785,27163124,27163285,6.43e-26,128
"35","PGEN_.00g001410","Scaffold_01:2961919-2993436","NC_069363.1",74.259,1585,313,55,29119,30629,51891020,51889457,2.72e-161,579
"36","PGEN_.00g001460","Scaffold_01:3036425-3075067","NC_069362.1",90.164,183,15,3,20260,20439,111147197,111147015,8.31e-58,235
"37","PGEN_.00g001480","Scaffold_01:3120104-3151510","NW_026463062.1",74.754,610,128,18,3270,3874,48775,48187,2.41e-62,250
"38","PGEN_.00g001590","Scaffold_01:3313644-3322635","NC_069363.1",83.418,392,34,17,6377,6752,100480294,100479918,1.85e-88,335
"39","PGEN_.00g001660","Scaffold_01:3421229-3430343","NC_069362.1",85.019,514,61,11,8288,8793,14582433,14582938,1.04e-140,508
"40","PGEN_.00g001670","Scaffold_01:3442458-3468503","NC_069370.1",81.579,304,48,7,25159,25457,61321194,61320894,9.3e-61,244
"41","PGEN_.00g001700","Scaffold_01:3530653-3562178","NC_069361.1",86,150,19,2,1681,1830,17966596,17966743,4.2e-35,159
"42","PGEN_.00g001730","Scaffold_01:3585240-3594053","NC_069363.1",82.083,240,39,4,1,238,37865731,37865494,1.92e-48,202
"43","PGEN_.00g001740","Scaffold_01:3599291-3603918","NC_069377.1",85.455,110,14,1,2807,2914,51394570,51394461,4.84e-22,113
"44","PGEN_.00g001860","Scaffold_01:3795132-3796060","NC_069363.1",91.525,118,9,1,809,926,16592565,16592449,3.33e-37,161
"45","PGEN_.00g001880","Scaffold_01:3876762-3887904","NC_069363.1",83.24,179,24,4,9171,9344,77752588,77752765,1.48e-35,159
"46","PGEN_.00g001920","Scaffold_01:3956825-3992262","NC_069373.1",80.556,180,29,5,19282,19457,62960936,62961113,2.86e-27,134
"47","PGEN_.00g001940","Scaffold_01:4016042-4056415","NW_026460133.1",79.392,296,52,8,7404,7693,23346,23638,3.17e-47,200
"48","PGEN_.00g001960","Scaffold_01:4060276-4100419","NC_069369.1",82.692,312,42,11,22736,23040,10675821,10675515,3.06e-67,267
"49","PGEN_.00g001990","Scaffold_01:4109720-4172563","NC_069377.1",76.815,427,89,9,58133,58555,71043772,71044192,1.75e-56,231
"50","PGEN_.00g002030","Scaffold_01:4303081-4303437","NC_069372.1",83.721,129,20,1,213,340,20213000,20212872,2.06e-25,121
"51","PGEN_.00g002090","Scaffold_01:4521430-4547903","NC_069369.1",83.916,143,21,2,16709,16850,29590372,29590231,5.94e-28,135
"52","PGEN_.00g002100","Scaffold_01:4556702-4574725","NC_069376.1",83.66,153,23,2,3600,3751,72271199,72271048,2.41e-30,143
"53","PGEN_.00g002130","Scaffold_01:4616177-4687745","NC_069366.1",84.868,152,23,0,65538,65689,46267379,46267228,4.43e-33,154
"54","PGEN_.00g002140","Scaffold_01:4691713-4694790","NC_069372.1",90.805,87,8,0,2955,3041,73399153,73399239,2.48e-23,117
"55","PGEN_.00g002150","Scaffold_01:4722842-4732333","NW_026459825.1",82.374,278,34,8,6170,6447,6510,6772,3.41e-56,228
"56","PGEN_.00g002240","Scaffold_01:5163600-5192642","NC_069368.1",79.966,1178,182,27,18832,19965,78666829,78667996,0,819
"57","PGEN_.00g002380","Scaffold_01:5640237-5669831","NC_069363.1",78.423,241,48,3,10651,10889,90228522,90228760,1.83e-33,154
"58","PGEN_.00g002420","Scaffold_01:5732605-5754981","NC_069363.1",85.207,169,23,2,9706,9874,90309126,90309292,3.82e-39,172
"59","PGEN_.00g002430","Scaffold_01:5761729-5830003","NC_069367.1",81.944,216,35,4,65912,66127,59607609,59607398,6.98e-41,180
"60","PGEN_.00g002510","Scaffold_01:6053072-6090279","NC_069372.1",80.804,224,37,4,17611,17830,33230419,33230198,2.29e-38,171
"61","PGEN_.00g002520","Scaffold_01:6125349-6149160","NC_069364.1",86.058,208,26,3,15898,16102,33754543,33754750,1.43e-53,220
"62","PGEN_.00g002580","Scaffold_01:6245646-6316687","NC_069372.1",78.868,265,48,6,27495,27751,29269337,29269601,1.22e-38,172
"63","PGEN_.00g002590","Scaffold_01:6336924-6377418","NC_069369.1",83.509,285,43,3,19588,19869,10675798,10675515,3.99e-66,263
"64","PGEN_.00g002640","Scaffold_01:6441064-6446302","NC_069369.1",84.266,286,38,6,2136,2416,10675515,10675798,8.54e-70,272
"65","PGEN_.00g002700","Scaffold_01:6604833-6621571","NC_069364.1",76,450,91,11,14390,14839,25800716,25800284,1.3e-52,217
"66","PGEN_.00g002710","Scaffold_01:6632680-6662250","NW_026463844.1",88.596,114,13,0,13681,13794,12028,12141,5.13e-29,139
"67","PGEN_.00g002720","Scaffold_01:6668371-6676468","NC_069372.1",82.09,134,22,2,3354,3487,55034614,55034483,8.49e-22,113
"68","PGEN_.00g002750","Scaffold_01:6722689-6757020","NC_069363.1",83.688,141,21,2,1,140,62602408,62602547,9.96e-27,132
"69","PGEN_.00g002940","Scaffold_01:7283378-7318437","NC_069362.1",80.749,187,26,6,29097,29275,24263112,24262928,2.19e-28,137
"70","PGEN_.00g002970","Scaffold_01:7388994-7405154","NC_069376.1",82.92,363,49,5,6911,7263,13424468,13424827,4.33e-82,315
"71","PGEN_.00g002990","Scaffold_01:7458304-7488684","NC_069361.1",72.65,585,131,24,7094,7662,107687879,107688450,2.42e-37,167
"72","PGEN_.00g003030","Scaffold_01:7562643-7588941","NC_069361.1",75,976,201,34,3036,3978,57780614,57781579,8.75e-111,411
"73","PGEN_.00g003050","Scaffold_01:7617215-7666227","NC_069373.1",80.729,192,33,4,42149,42337,46431633,46431443,5.08e-31,147
"74","PGEN_.00g003060","Scaffold_01:7672313-7688062","NC_069372.1",81.786,280,34,11,9627,9892,76925120,76924844,3.41e-53,219
"75","PGEN_.00g003090","Scaffold_01:7724467-7746714","NC_069365.1",84.186,215,34,0,11479,11693,40210646,40210860,2.9e-50,209
"76","PGEN_.00g003120","Scaffold_01:7805957-7815163","NC_069366.1",86.099,1115,146,5,5394,6500,19666998,19668111,0,1192
"77","PGEN_.00g003140","Scaffold_01:7841125-7887077","NC_069363.1",79.276,304,54,9,34445,34743,21851878,21852177,2.79e-48,204
"78","PGEN_.00g003190","Scaffold_01:8000690-8023490","NW_026461758.1",76.525,754,165,9,6238,6982,49478,50228,4.57e-108,401
"79","PGEN_.00g003270","Scaffold_01:8177922-8199615","NC_069372.1",84.737,190,24,5,10964,11150,55034479,55034666,4.76e-43,185
"80","PGEN_.00g003300","Scaffold_01:8216582-8237984","NC_069361.1",78.814,236,48,2,15572,15806,112290056,112289822,1.02e-34,158
"81","PGEN_.00g003340","Scaffold_01:8264242-8310374","NC_069378.1",80.782,307,42,9,22000,22289,33267537,33267843,2.15e-54,224
"82","PGEN_.00g003360","Scaffold_01:8368517-8390872","NC_069369.1",82.517,143,18,6,11426,11566,57908915,57909052,5.05e-23,119
"83","PGEN_.00g003440","Scaffold_01:8526493-8550506","NC_069371.1",82.353,187,31,1,15933,16117,558559,558373,8.88e-36,161
"84","PGEN_.00g003470","Scaffold_01:8593161-8623276","NC_069373.1",85.802,162,22,1,13514,13674,62960935,62961096,1.85e-38,171
"85","PGEN_.00g003480","Scaffold_01:8625768-8681145","NC_069376.1",84.264,197,28,3,41688,41882,72271223,72271028,9.41e-44,189
"86","PGEN_.00g003500","Scaffold_01:8740870-8756032","NC_069375.1",95,80,2,1,12135,12212,44099485,44099564,7.35e-25,124
"87","PGEN_.00g003510","Scaffold_01:8762565-8766855","NC_069364.1",88.679,106,10,2,94,199,56420648,56420545,1.6e-26,128
"88","PGEN_.00g003520","Scaffold_01:8767297-8783750","NC_069366.1",86.266,2643,314,28,448,3078,71865803,71863198,0,2824
"89","PGEN_.00g003590","Scaffold_01:9032805-9047702","NC_069366.1",87.615,218,26,1,3609,3826,17789167,17788951,3.18e-63,252
"90","PGEN_.00g003620","Scaffold_01:9065572-9091868","NC_069377.1",80,315,47,12,19812,20113,69311036,69310725,5.69e-53,219
"91","PGEN_.00g003630","Scaffold_01:9094056-9114982","NC_069369.1",79.522,293,53,5,15072,15360,41762633,41762922,4.56e-48,202
"92","PGEN_.00g003650","Scaffold_01:9145366-9176150","NC_069363.1",76.712,1022,222,9,29633,30646,83790625,83789612,4.47e-154,555
"93","PGEN_.00g003660","Scaffold_01:9210995-9212617","NC_069363.1",79.182,807,138,21,660,1457,83723071,83722286,1.09e-148,532
"94","PGEN_.00g003710","Scaffold_01:9354818-9374260","NC_069376.1",86.111,180,25,0,7740,7919,72271044,72271223,7.09e-46,195
"95","PGEN_.00g003720","Scaffold_01:9387153-9456089","NW_026461758.1",78.251,423,77,11,36464,36874,49670,50089,3.16e-64,257
"96","PGEN_.00g003760","Scaffold_01:9656116-9752521","NW_026462127.1",87.33,221,24,3,40227,40446,49999,50216,7.41e-62,250
"97","PGEN_.00g003810","Scaffold_01:9846257-9860593","NC_069369.1",82.168,286,47,4,13343,13626,10675515,10675798,1.84e-60,243
"98","PGEN_.00g003830","Scaffold_01:9880517-9888128","NW_026460862.1",85.78,218,30,1,6886,7102,45747,45530,7.59e-57,230
"99","PGEN_.00g003860","Scaffold_01:9926127-9940155","NC_069371.1",81.818,275,36,12,8479,8749,26426523,26426787,3.03e-53,219
"100","PGEN_.00g003880","Scaffold_01:9947054-9955879","NC_069372.1",82.174,230,39,2,2980,3207,66381977,66381748,8.93e-47,196
"101","PGEN_.00g003890","Scaffold_01:9981218-10004414","NW_026462911.1",81.696,224,36,4,6240,6459,19395,19617,6.59e-42,182
"102","PGEN_.00g003920","Scaffold_01:10039762-10051652","NC_069369.1",84.965,286,39,4,6044,6327,10675798,10675515,6.95e-74,287
"103","PGEN_.00g003940","Scaffold_01:10078087-10084378","NC_069365.1",85.87,184,25,1,4572,4754,470538,470721,2.29e-46,195
"104","PGEN_.00g003950","Scaffold_01:10084738-10097421","NC_069365.1",80.139,287,39,11,548,819,59687882,59687599,3.57e-47,198
"105","PGEN_.00g003960","Scaffold_01:10109301-10146767","NC_069365.1",89.394,1188,100,15,31669,32840,53173246,53172069,0,1472
"106","PGEN_.00g004010","Scaffold_01:10195366-10218140","NC_069376.1",86.31,168,22,1,8334,8500,72271032,72271199,6.47e-42,182
"107","PGEN_.00g004020","Scaffold_01:10345340-10378622","NC_069363.1",90.184,163,12,2,12031,12191,51661909,51661749,4.34e-50,209
"108","PGEN_.00g004040","Scaffold_01:10504516-10513254","NC_069369.1",84.541,207,28,4,5826,6030,10675582,10675786,1.9e-48,202
"109","PGEN_.00g004050","Scaffold_01:10547793-10624191","NC_069367.1",85.455,220,28,2,53638,53853,29225520,29225301,9.89e-55,226
"110","PGEN_.00g004060","Scaffold_01:10624382-10669247","NC_069364.1",86.842,190,22,1,41830,42019,92937938,92937752,5.85e-50,209
"111","PGEN_.00g004100","Scaffold_01:10763341-10767165","NC_069373.1",84.722,216,31,2,2245,2459,61846560,61846774,1.06e-52,215
"112","PGEN_.00g004130","Scaffold_01:10792378-10798672","NC_069367.1",86.755,151,18,2,595,744,52742315,52742464,4.99e-38,167
"113","PGEN_.00g004180","Scaffold_01:10891637-10912223","NC_069364.1",84.932,219,33,0,10871,11089,41333718,41333936,3.44e-54,222
"114","PGEN_.00g004220","Scaffold_01:10958837-10980219","NC_069377.1",84.982,273,15,13,17787,18058,54274940,54275187,1.27e-63,254
"115","PGEN_.00g004260","Scaffold_01:11020714-11077206","NC_069364.1",86.047,215,30,0,53775,53989,33754757,33754543,1.57e-56,231
"116","PGEN_.00g004270","Scaffold_01:11082926-11088899","NC_069367.1",85.648,216,30,1,2480,2694,29225301,29225516,7.7e-56,226
"117","PGEN_.00g004280","Scaffold_01:11098949-11126653","NC_069367.1",85.333,150,21,1,21624,21773,64520980,64521128,1.72e-33,154
"118","PGEN_.00g004330","Scaffold_01:11144131-11155307","NC_069365.1",81.754,285,40,4,7296,7579,26345542,26345815,4.01e-56,228
"119","PGEN_.00g004340","Scaffold_01:11157213-11163170","NC_069363.1",79.51,449,82,4,72,520,70187154,70186716,2.06e-81,311
"120","PGEN_.00g004380","Scaffold_01:11185035-11200911","NC_069361.1",80,285,46,7,8148,8423,59176901,59176619,1.24e-47,200
"121","PGEN_.00g004390","Scaffold_01:11227692-11282198","NC_069374.1",85.965,171,20,3,11542,11709,52727834,52728003,5.57e-41,180
"122","PGEN_.00g004400","Scaffold_01:11291051-11336417","NC_069363.1",87.417,151,19,0,15620,15770,7526085,7526235,2.16e-39,174
"123","PGEN_.00g004510","Scaffold_01:11512219-11578082","NC_069377.1",93.738,1517,85,5,47811,49321,144275,142763,0,2266
"124","PGEN_.00g004600","Scaffold_01:11708983-11709617","NC_069369.1",91.379,232,17,3,308,538,38033712,38033483,1.63e-83,315
"125","PGEN_.00g004620","Scaffold_01:11738827-11776352","NC_069368.1",78.935,432,35,21,14812,15241,41678648,41679025,4.82e-60,243
"126","PGEN_.00g004660","Scaffold_01:11787697-11831066","NC_069373.1",81.657,169,25,3,40430,40592,35937959,35938127,9.73e-28,135
"127","PGEN_.00g004670","Scaffold_01:11858526-11923216","NC_069369.1",82.517,286,46,4,44470,44753,10675798,10675515,1.79e-61,248
"128","PGEN_.00g004690","Scaffold_01:11962630-12021181","NC_069373.1",86.239,218,30,0,5091,5308,63614326,63614543,3.5e-58,237
"129","PGEN_.00g004720","Scaffold_01:12044750-12078289","NC_069369.1",82.759,319,44,11,23564,23874,10675515,10675830,1.53e-69,274
"130","PGEN_.00g004820","Scaffold_01:12331921-12360338","NC_069377.1",81.517,211,27,10,27836,28034,23663170,23662960,2.92e-36,163
"131","PGEN_.00g004830","Scaffold_01:12421414-12459019","NC_069370.1",76.579,760,154,18,5861,6610,48327583,48326838,3.51e-106,396
"132","PGEN_.00g004840","Scaffold_01:12482981-12539247","NC_069368.1",83.109,521,71,12,61,570,7344808,7344294,6.6e-125,459
"133","PGEN_.00g004860","Scaffold_01:12561934-12572343","NC_069368.1",75.407,614,109,27,5881,6459,29545645,29546251,1.33e-65,259
"134","PGEN_.00g004890","Scaffold_01:12608697-12655189","NC_069369.1",85.401,274,36,4,33198,33469,10675786,10675515,1.27e-71,281
"135","PGEN_.00g004940","Scaffold_01:12666698-12696509","NC_069373.1",75.221,565,106,20,1070,1607,48398450,48397893,1.78e-58,237
"136","PGEN_.00g004950","Scaffold_01:12709157-12711543","NC_069363.1",81.992,2410,401,25,1,2386,73739500,73741900,0,2015
"137","PGEN_.00g005110","Scaffold_01:13027821-13031640","NC_069361.1",86.667,120,11,3,247,361,105173339,105173458,1.42e-26,128
"138","PGEN_.00g005150","Scaffold_01:13160924-13194552","NC_069362.1",82.199,191,33,1,3879,4069,77665983,77666172,3.46e-36,163
"139","PGEN_.00g005260","Scaffold_01:13368110-13398858","NC_069372.1",78.378,222,43,5,2757,2977,40242937,40242720,5.33e-29,139
"140","PGEN_.00g005280","Scaffold_01:13451900-13458859","NC_069362.1",77.909,1014,140,47,4759,5766,104720311,104721246,1.01e-154,555
"141","PGEN_.00g005290","Scaffold_01:13459035-13459469","NC_069374.1",85.987,157,22,0,152,308,56384188,56384344,8.97e-40,169
"142","PGEN_.00g005300","Scaffold_01:13459775-13462154","NC_069371.1",84.615,221,29,5,718,936,13495241,13495458,6.58e-53,215
"143","PGEN_.00g005380","Scaffold_01:13602064-13607670","NW_026462552.1",93.945,1024,59,3,314,1336,16144,17165,0,1544
"144","PGEN_.00g005400","Scaffold_01:13618847-13648843","NC_069361.1",79.695,591,79,19,3354,3923,68960163,68960733,4.68e-104,388
"145","PGEN_.00g005480","Scaffold_01:13725578-13827565","NC_069366.1",83.088,272,26,13,72118,72387,64762587,64762840,1.02e-55,230
"146","PGEN_.00g005660","Scaffold_01:14272638-14385002","NC_069363.1",75.581,1335,298,25,84692,86012,77974507,77975827,2.04e-177,634
"147","PGEN_.00g005720","Scaffold_01:14557302-14561451","NC_069365.1",79.126,206,31,9,163,362,53200577,53200378,1.2e-27,132
"148","PGEN_.00g005770","Scaffold_01:14789084-14818158","NC_069370.1",81.122,196,33,3,2722,2916,55095130,55094938,1.8e-33,154
"149","PGEN_.00g006120","Scaffold_01:15441130-15455918","NC_069369.1",83.217,286,32,9,9503,9774,10675515,10675798,4.08e-62,248
"150","PGEN_.00g006140","Scaffold_01:15487215-15500399","NC_069364.1",76.316,342,72,7,6127,6460,34410622,34410282,6.26e-40,174
"151","PGEN_.00g006170","Scaffold_01:15589530-15621657","NC_069373.1",82.32,181,31,1,15106,15285,62961113,62960933,5.53e-34,156
"152","PGEN_.00g006230","Scaffold_01:15702812-15730893","NW_026459007.1",80.388,1443,248,22,21331,22744,49132,47696,0,1064
"153","PGEN_.00g006250","Scaffold_01:15737808-15744493","NW_026458988.1",80.114,176,33,2,2946,3121,59405,59578,6.95e-27,130
"154","PGEN_.00g006280","Scaffold_01:15806701-15832625","NC_069376.1",78.531,177,36,2,21859,22034,10064197,10064372,7.57e-22,115
"155","PGEN_.00g006380","Scaffold_01:16037773-16062499","NC_069373.1",81.667,180,30,2,21183,21361,62961117,62960940,2.56e-31,147
"156","PGEN_.00g006420","Scaffold_01:16148891-16165027","NC_069361.1",78.135,311,62,6,3254,3561,97562610,97562917,2.12e-45,193
"157","PGEN_.00g006460","Scaffold_01:16246522-16297666","NC_069363.1",85.35,157,23,0,43885,44041,94329757,94329601,5.26e-36,163
"158","PGEN_.00g006560","Scaffold_01:16467827-16476428","NC_069372.1",81.595,163,25,3,3283,3444,67297602,67297444,8.95e-27,130
"159","PGEN_.00g006610","Scaffold_01:16606675-16619655","NC_069370.1",79.725,291,57,2,244,533,51093246,51093535,1.69e-50,209
"160","PGEN_.00g006680","Scaffold_01:16717912-16733139","NC_069371.1",79.191,173,34,2,587,757,44227351,44227523,3.44e-23,119
"161","PGEN_.00g006770","Scaffold_01:16849516-16855788","NC_069362.1",82.323,198,33,1,2033,2228,18004583,18004780,3.84e-39,171
"162","PGEN_.00g006840","Scaffold_01:16995810-17033348","NC_069376.1",89.524,105,10,1,9512,9615,72271041,72271145,1.09e-26,132
"163","PGEN_.00g006890","Scaffold_01:17170891-17235289","NC_069377.1",82.796,279,38,8,3667,3935,69310755,69311033,2.98e-59,241
"164","PGEN_.00g006920","Scaffold_01:17296876-17304261","NC_069373.1",83.66,153,24,1,490,641,62960934,62961086,9.87e-31,143
"165","PGEN_.00g007000","Scaffold_01:17359343-17365519","NW_026461758.1",74.931,722,145,25,4662,5351,49504,50221,1.66e-77,298
"166","PGEN_.00g007050","Scaffold_01:17449070-17452908","NC_069365.1",85.119,168,24,1,914,1081,2197730,2197564,2.34e-39,171
"167","PGEN_.00g007070","Scaffold_01:17467961-17488697","NC_069369.1",76.182,550,98,25,5834,6359,44691316,44691856,2.64e-65,259
"168","PGEN_.00g007090","Scaffold_01:17529642-17545221","NW_026462127.1",87.5,208,26,0,2815,3022,50216,50009,7.19e-60,241
"169","PGEN_.00g007150","Scaffold_01:17603234-17621999","NC_069373.1",84.277,159,24,1,128,285,62960936,62961094,1.16e-33,154
"170","PGEN_.00g007160","Scaffold_01:17623479-17640972","NC_069369.1",84.669,287,39,5,7828,8111,80707950,80708234,4.76e-72,281
"171","PGEN_.00g007210","Scaffold_01:17732425-17733886","NC_069374.1",83.439,157,26,0,334,490,52727834,52727990,1.48e-32,147
"172","PGEN_.00g007220","Scaffold_01:17739519-17770571","NW_026460185.1",73.932,468,97,23,23630,24082,26094,26551,8.88e-37,165
"173","PGEN_.00g007300","Scaffold_01:17915518-18009266","NC_069369.1",86.182,275,34,4,91551,91823,10675787,10675515,3.28e-75,294
"174","PGEN_.00g007310","Scaffold_01:18025497-18047312","NC_069363.1",85.915,142,18,2,6219,6360,66935015,66934876,1.75e-32,150
"175","PGEN_.00g007340","Scaffold_01:18195064-18316661","NC_069363.1",76.067,773,145,29,59091,59829,76676668,76677434,8.89e-97,366
"176","PGEN_.00g007440","Scaffold_01:18686833-18689991","NW_026461803.1",84.252,127,18,2,756,881,45564,45689,5.47e-25,122
"177","PGEN_.00g007500","Scaffold_01:18843807-18871688","NC_069363.1",80.749,187,26,7,18238,18414,72915465,72915279,1.74e-28,137
"178","PGEN_.00g007520","Scaffold_01:18898111-18906973","NC_069363.1",82.639,144,23,1,1789,1932,13109653,13109512,1.19e-25,126
"179","PGEN_.00g007540","Scaffold_01:18966509-18989939","NC_069370.1",87.097,124,16,0,12401,12524,29261032,29260909,1.13e-29,141
"180","PGEN_.00g007550","Scaffold_01:18991546-18996710","NC_069377.1",75.298,1008,203,41,1435,2417,4501508,4500522,2.18e-120,440
"181","PGEN_.00g007610","Scaffold_01:19060027-19081148","NC_069364.1",81.333,300,39,8,7454,7736,33754543,33754842,7.6e-56,228
"182","PGEN_.00g007630","Scaffold_01:19091702-19128324","NC_069377.1",88.665,397,22,9,30092,30465,67866086,67866482,3.32e-126,462
"183","PGEN_.00g007640","Scaffold_01:19139000-19144538","NW_026460133.1",76.198,605,124,16,1931,2521,23227,23825,1.15e-78,302
"184","PGEN_.00g007690","Scaffold_01:19197648-19259844","NC_069369.1",79.292,932,175,14,50447,51367,7839895,7840819,3.14e-178,636
"185","PGEN_.00g007720","Scaffold_01:19377169-19458888","NC_069373.1",74.083,818,176,23,46666,47455,24710456,24709647,4.75e-78,303
"186","PGEN_.00g007740","Scaffold_01:19473492-19510625","NC_069373.1",80,170,26,8,17378,17543,25016123,25015958,8.39e-23,119
"187","PGEN_.00g007760","Scaffold_01:19521443-19550452","NC_069371.1",74.531,640,114,32,12322,12924,6669153,6669780,2.24e-57,233
"188","PGEN_.00g007800","Scaffold_01:19655691-19703939","NC_069369.1",83.624,287,41,6,33115,33397,80708234,80707950,1.32e-66,265
"189","PGEN_.00g007860","Scaffold_01:19770707-19772944","NC_069363.1",84.433,1015,154,4,1,1013,75228022,75229034,0,996
"190","PGEN_.00g007870","Scaffold_01:19789621-19794144","NC_069375.1",84.752,1010,152,2,3514,4522,20554287,20553279,0,1011
"191","PGEN_.00g007880","Scaffold_01:19800483-19804989","NC_069363.1",86.555,1019,134,3,3489,4505,75229039,75228022,0,1120
"192","PGEN_.00g007970","Scaffold_01:19900518-19913600","NC_069361.1",77.435,421,78,12,2611,3017,10602177,10602594,2.81e-58,235
"193","PGEN_.00g007980","Scaffold_01:19917223-19928812","NC_069373.1",73.083,587,122,29,1555,2112,65040218,65039639,1.53e-40,176
"194","PGEN_.00g008000","Scaffold_01:19968828-20014821","NW_026460133.1",76.357,516,103,15,13537,14042,23772,23266,5.87e-65,259
"195","PGEN_.00g008010","Scaffold_01:20016635-20031771","NC_069365.1",73.615,1137,257,34,10271,11371,74500332,74501461,3.92e-107,398
"196","PGEN_.00g008020","Scaffold_01:20037000-20047698","NC_069373.1",85.03,167,24,1,2474,2639,62960936,62961102,2.36e-38,169
"197","PGEN_.00g008030","Scaffold_01:20085937-20113770","NC_069376.1",80,205,27,8,22807,23006,72271226,72271031,4.83e-29,139
"198","PGEN_.00g008040","Scaffold_01:20123365-20229166","NC_069364.1",79.868,303,60,1,77068,77370,25800393,25800694,6.37e-53,220
