spot,Genebank,Description,Cluster,Tissue specificity,,ST3F F9,ST3F F14,ST3F F15,ST3F F32,Gc3Fb,Gc3Fa,Gc3Fc,Gl3Fa,Gl3Fb,Gl3Fd,LQ15,LQ18,LQ21,HQ28,HQ29,HQ3,HQ26
6346,AM856831,hypothetical protein BRAFLDRAFT_69390 [Branchiostoma floridae],1,,somatic,0.470096591,0.611329674,0.538567584,0.56056173,0.63981559,0.78494175,0.587369797,0.540468026,0.315423505,0.336558553,-0.320988106,-0.318144493,-0.060360799,-0.55267856,-0.556772582,-0.212264753,-0.321482192
6395,AM867786,hypothetical protein BRAFLDRAFT_69764 [Branchiostoma floridae],1,,somatic,1.019277143,1.016297514,0.760961598,0.974535173,1.097992803,1.300262807,0.911167241,0.883976877,0.772730962,0.672430196,0.16921342,0.256239606,-0.105617463,-0.063877947,-0.120640154,-0.050097652,-0.050378274
6446,FP008634,(sp:Q6PFY8) Tripartite motif-containing protein 45 OS=Mus musculus GN=Trim45 PE=2 SV=1,1,,somatic,1.216358071,1.046528674,0.854705739,1.109595704,1.320368038,1.458592748,0.981403177,1.141769988,0.997909842,0.685379791,0.20956737,0.462671536,0.253579082,-0.080035421,-0.083296472,0.36144802,0.218335489
6545,AM854780,(sp:P62155) Calmodulin OS=Xenopus laevis GN=calm1 PE=1 SV=2,1,adductor muscle,somatic,-0.046362962,0.076335057,0.169463298,-0.042469157,-0.231440995,-0.014770038,-0.087846041,-0.043617225,-0.225275646,-0.240647212,-0.768339885,-1.077575267,-0.742522987,-0.934487557,-0.760185768,-0.59779133,-0.863396664
7386,AM865407,(sp:Q8N474) Secreted frizzled-related protein 1 OS=Homo sapiens GN=SFRP1 PE=1 SV=1,1,,somatic,0.481431991,0.444653923,0.280706183,0.520956376,0.6031024,0.721721871,0.452947713,0.343364007,0.318764464,0.264951312,-0.890897156,-1.175130168,-0.805282452,-0.736467006,-0.649433702,-0.668001129,-0.565808454
8260,AM858220,hypothetical protein BRAFLDRAFT_69778 [Branchiostoma floridae],1,,somatic,1.72405058,1.7840575,1.6423086,1.622390071,1.861266373,1.980623862,1.666868059,1.706547779,1.561931858,1.398672213,0.710163742,0.66340585,0.596853958,0.332936584,0.209846627,0.583885025,0.413077995
10041,CX069008,0,1,gills,somatic,0.613977194,0.63551349,0.250979339,0.634348513,1.171032821,1.429054436,0.306342853,0.449589951,0.488979554,0.573011559,-0.614217269,-0.47712759,-0.748898367,-0.492759258,-0.663441231,-0.502874603,-0.570127315
10305,FP005411,0,1,,somatic,1.27262911,1.401784188,1.272501471,1.225589626,1.377169593,1.527804807,1.507658113,1.328123007,1.221558316,1.043211862,0.559781269,0.585696194,0.569933953,0.795229979,0.692800027,0.426159909,0.758688885
10475,FP002214,(sp:Q99836) Myeloid differentiation primary response protein MyD88 OS=Homo sapiens GN=MYD88 PE=1 SV=1,1,,somatic,0.501013458,0.275687451,0.213993059,0.388686073,0.660333254,0.832619396,0.23566212,0.302190847,0.184808742,0.015360869,-1.139549576,-0.753215571,-0.938637529,-1.32362246,-1.170243014,-1.07948806,-1.077916574
10648,DV736431,0,1,,somatic,1.814097117,1.951534337,1.803366178,1.815591595,1.801788487,1.930618187,1.678558369,1.86650349,1.779903558,1.474596922,0.522206212,0.742379309,0.65472077,0.467433151,0.423491324,0.614483504,0.536004889
11003,AM857878,(sp:O43736) Integral membrane protein 2A OS=Homo sapiens GN=ITM2A PE=1 SV=2,1,,somatic,1.319915018,1.336343446,1.165739455,1.153847229,1.20327179,1.340204671,1.336597707,1.216214743,1.141600568,1.059238231,0.34130631,0.514613358,0.537649859,0.522205377,0.145583672,0.578242144,0.390187344
11222,FP006621,0,1,,somatic,1.148123137,1.243023007,1.109429547,1.158346928,1.15277676,1.122103686,1.451286738,1.08125113,1.058863758,1.233466662,-0.198207286,-0.328425154,-0.228073354,-0.183502979,-0.322460283,-0.125630296,0.294452394
11684,AM862532,0,1,mantle,somatic,0.775024962,0.986214839,1.064541918,0.948850072,0.798357824,0.794452612,0.582362397,0.942196333,0.731376837,0.840792412,-0.448110653,-0.892748526,-0.622354075,-0.660014581,-0.616754658,-0.760749343,-0.771332552
12636,FP005965,(sp:Q9IAV3) Hematopoietically-expressed homeobox protein hhex OS=Danio rerio GN=hhex PE=2 SV=1,1,,somatic,1.091500162,0.663177544,0.604414223,0.779856071,0.763944343,0.874009547,0.488957947,0.792810545,0.654317471,0.413693767,-0.579871595,-0.129056314,-0.318265127,-0.736758601,-0.331010659,-0.358362339,-0.78054099
12900,CU683452,"(sp:P24733) Myosin heavy chain, striated muscle OS=Aequipecten irradians PE=1 SV=1",1,adductor muscle,somatic,0.76663605,0.731819763,0.848816803,0.685400725,0.547400346,0.756111161,0.953275036,0.839891299,0.723016976,0.38103714,-1.022260915,-1.323399842,-0.693825147,-1.081235561,-0.584362399,-1.033209924,-0.805565874
13104,FP003926,hypothetical protein BRAFLDRAFT_82426 [Branchiostoma floridae],1,,somatic,1.823058783,1.872531638,1.714628039,1.756553686,1.949494017,2.073444696,1.79515238,1.80294266,1.735347452,1.532170981,0.768090456,0.754499997,0.670518442,0.463117293,0.270361681,0.662307764,0.541072447
13157,FP002471,(sp:Q8WZ42) Titin OS=Homo sapiens GN=TTN PE=1 SV=2,1,,somatic,1.13663255,1.298169638,1.18007341,1.138135111,0.849073532,1.097138119,1.371715865,1.067551943,1.039285626,0.823886734,0.412932176,0.162641967,0.482532414,0.19300467,0.136744652,0.329379361,0.390560205
13275,AM865987,0,1,,somatic,1.862628987,1.977668329,1.847189538,1.870981265,1.923948612,2.021818154,1.929209622,1.893027705,1.818356489,1.598779033,1.373344713,1.35266262,1.209295181,1.294970357,1.108903906,1.45207167,1.423820997
13944,AM861070,0,1,,somatic,1.17103194,1.345842432,1.164321436,1.239009629,1.046914555,1.129706855,1.14992089,1.187200922,1.092764488,0.944846815,0.298387464,0.485031159,0.682270163,0.406662817,0.445924784,0.253705978,0.441017625
14143,CU987407,0,1,,somatic,0.9324338099571885,1.0341099903043853,0.9649219739561324,0.9538995865422213,0.9375356364464026,1.0932578002825128,1.2228972721906444,0.9045983570397385,0.8690627723895001,0.8646147651550073,0.6791059510647014,0.6599192449346117,0.6627335393841299,0.4346007932584634,0.6064126489615609,0.5234015655834544,0.665636321982424
14503,FP009047,0,1,,somatic,0.413093277,0.112696802,-0.118408388,0.215577235,0.282170299,0.541552336,0.208439824,0.128934847,0.033644371,0.030990391,-0.740060719,-0.754813827,-0.838058335,-0.806998801,-0.736132555,-0.750517831,-0.915103728
14815,FP006206,0,1,,somatic,0.151894049,0.051430973,0.189487909,0.223903393,-0.037299011,0.230194842,0.188554044,-0.026124369,-0.123646565,0.007102363,-0.632744083,-0.678794847,-0.703592298,-0.662269516,-0.926376806,-0.711068176,-0.672107932
14925,AM860424,(sp:A2ASS6) Titin OS=Mus musculus GN=Ttn PE=1 SV=1,1,adductor muscle,somatic,0.420517856,0.595311934,0.408457116,0.518170099,0.331353723,0.491206081,0.644568043,0.47673683,0.386468177,0.24135341,-0.036015696,-0.133250242,-0.033047396,-0.207282554,-0.410608402,-0.232344801,-0.240638411
14941,FP000770,0,1,hemocyte,somatic,1.192831814,1.207500757,1.039430679,1.186748106,1.388211818,1.576444017,1.110876185,1.214787063,1.150472174,0.760530745,-0.009968209,0.043537963,-0.032849639,-0.153433349,-0.22911406,-0.334658542,-0.294403305
15037,EW778047,0,1,,somatic,0.849542873,0.594090834,0.526813301,0.547642262,0.358299697,0.508698585,0.457445691,0.517052871,0.461075165,0.232815695,-0.863252627,-0.755530178,-1.022523276,-1.189795991,-1.686638765,-1.078452561,-1.014319012
16053,EE677762,(sp:P35951) Low-density lipoprotein receptor OS=Mus musculus GN=Ldlr PE=1 SV=1,1,,somatic,1.629997941,1.439959946,1.462423461,1.319226346,2.235372501,2.221028318,2.250656854,1.431688963,1.900101449,1.692700652,-0.194278853,0.711016422,0.247356969,0.187093461,0.190110321,-0.426288228,0.422597133
16189,CU686310,0,1,,somatic,1.481830075,1.4615203,1.537177955,1.552700454,1.321188493,1.460477976,1.425115784,1.447103386,1.381921637,1.19680654,-0.965109259,-1.08193563,-1.071558813,-0.908669601,-1.201506662,-0.927572817,-0.997188769
16754,AM856782,(sp:P29172) Microtubule-associated protein tau OS=Bos taurus GN=MAPT PE=1 SV=3,1,,somatic,0.403358536,0.470995676,0.414275147,0.469385913,0.680440161,0.787297513,0.391689374,0.437425541,0.369830944,0.19570799,-0.269252112,-0.35231401,-0.400174032,-0.314492857,-0.289254531,-0.584136198,-0.525742866
16932,CU686207,"(sp:P24733) Myosin heavy chain, striated muscle OS=Aequipecten irradians PE=1 SV=1",1,adductor muscle,somatic,0.311991046,0.39901741,0.470779777,0.294449301,0.063370764,0.248446819,0.589890384,0.309042427,0.145244358,0.058206993,-0.860177345,-0.7991193,-0.819776874,-0.800522031,-0.337258739,-0.821715989,-0.740289711
16995,AM860276,(sp:Q91145) Collagen alpha-1(XII) chain (Fragment) OS=Notophthalmus viridescens PE=2 SV=1,1,,somatic,1.059623412,0.985642286,0.870842439,0.917685226,0.612455253,0.881904059,0.980851063,0.804234775,0.806983938,0.528809584,-0.987875306,-0.869197166,-1.160819376,-0.969482134,-0.98167755,-0.509611497,-1.225203304
18036,AM854381,(sp:Q08094) Calponin-2 (Fragment) OS=Sus scrofa GN=CNN2 PE=2 SV=1,1,,somatic,1.115492017,1.235892552,1.27974948,1.268586302,0.968401412,1.107674897,1.102591992,1.186937515,0.994529262,1.037640178,-0.325681617,-0.407892035,-0.231549189,-0.425117379,-0.21509183,-0.071071408,-0.238362673
18684,CU685473,0,1,,somatic,0.535691771,0.712106103,0.570838924,0.779354689,0.572343054,0.822885914,0.684774561,0.508380631,0.548341148,0.421019445,-0.987260115,-1.180092403,-0.72419673,-0.88908895,-1.114516348,-1.392488164,-1.192349234
18754,FP008900,0,1,,somatic,0.581836819,0.290820095,0.288565808,0.331519205,0.465902756,0.596738689,0.203538844,0.31537675,0.174054049,-0.044345181,-0.238704813,-0.391082926,-0.429855547,-0.333423696,-0.530927444,-0.429381895,-0.512571095
18794,BQ426713,0,1,,somatic,0.784914424,0.739137788,0.584396464,0.697841869,1.265300296,0.904617388,0.589616182,0.633310967,0.390760555,0.432225441,-0.38976124,0.036015869,-0.508672945,-0.603708969,-0.929064764,-0.566669258,-0.796048851
18863,EW779411,0,1,,somatic,1.045383353,1.069925246,0.935598124,0.978724822,0.797765322,0.958908902,1.075700421,0.898904006,0.920416293,0.83992436,0.111588287,0.401574233,0.035814258,0.211354137,0.073533077,0.274843478,0.049636785
19713,AM854655,0,1,,somatic,0.985112628,0.866274405,0.768850122,0.829146195,0.739901154,0.794450435,0.966991446,0.846039939,0.646412173,0.666145166,-0.209747972,-0.018761416,-0.038685417,0.105579436,-0.396674777,-0.115279732,-0.165977065
20049,CU685408,0,1,,somatic,0.845263289,0.865707602,0.7957175,0.778703184,0.636105684,0.779607544,0.756052857,0.719707869,0.751912925,0.684956594,0.227759014,0.149463686,0.183434605,0.428356395,0.149378517,0.153880334,0.32444554
20072,EE677826,transmembrane domains-containing protein [Ixodes scapularis],1,,somatic,0.10745859,-0.091885456,0.179888961,0.143981044,0.017216953,0.146464608,0.122193822,-0.007233984,-0.103253932,-0.023179089,-1.016642116,-0.917101925,-0.859028376,-0.728427642,-1.001715385,-0.651249327,-0.958630212
20124,CU682808,0,1,,somatic,1.073482363,0.845024031,0.975377989,0.969738047,1.068745573,1.183800046,1.018643845,0.944168144,0.953490405,0.773155001,0.289076026,0.24109726,-0.047532135,-0.301432328,-0.09857881,-0.078863566,-0.236235596
20345,FP010293,0,1,,somatic,1.079014236,1.147519846,1.005307485,1.074852984,1.170078993,1.352515274,1.090352787,0.953007183,0.945099816,0.845087561,0.32227626,0.263516213,0.362505114,0.5979679,0.295726016,0.584227276,0.5773331
20443,CU998715,0,1,,somatic,0.341402689,0.37205339,0.499422932,0.426004206,0.259293949,0.522468162,0.413305911,0.387604326,0.267223723,0.127500389,-0.091145878,-0.054203339,-0.324966554,-0.218783583,-0.043390709,-0.170346909,-0.147081282
20681,DW714012,0,1,,somatic,0.725701628,0.562433955,0.524575257,0.514717675,0.472880484,0.77179863,0.659664245,0.510927516,0.419938485,0.348552689,-0.480263255,-0.298444758,-0.896152951,-0.844503809,-1.033980982,-0.601347914,-0.779316089
21799,FP001999,(sp:Q95ZJ1) Polypeptide N-acetylgalactosaminyltransferase 5 OS=Caenorhabditis elegans GN=gly-5 PE=1 SV=2,1,,somatic,1.118683904,1.221838933,1.238217283,1.083938359,1.267339905,1.384037321,1.180059974,1.198537259,1.247052055,0.994721517,0.617628645,0.781079551,0.691549011,0.758212751,0.590219319,0.704255518,0.505383933
21824,AM864797,0,1,,somatic,0.40174896,0.394745553,0.404939853,0.453388499,0.372470936,0.486380909,0.064151724,0.367410999,0.321151547,-0.017033583,-0.674543457,-0.353040482,-0.619139699,-0.845802751,-0.747872869,-0.455899551,-0.841234539
21978,AM854964,0,1,,somatic,-0.5933779460566607,-0.29478633423815626,-0.12571980079602388,-0.27754069310211393,-0.07215868376079138,0.22670400507554422,-0.023170027424349492,-0.2858161792281911,-0.3726366874438332,-0.3897051098791838,-0.8031991030932574,-0.7897595086503728,-1.292453721214222,-0.8515506852091845,-0.9287847579552286,-1.2213608621903118,-0.9983593347028996
23287,AM857938,0,1,,somatic,1.311049969,1.124124304,0.966373255,1.155936987,1.2878204,1.643346588,1.204732404,1.236840804,1.275860593,0.998968778,-0.370423019,-0.215613348,-0.45357877,-0.5682475,-0.607809908,-0.113928548,-0.884794226
23732,CU993973,0,1,,somatic,0.553143798,0.53499382,0.510576895,0.481586511,0.472076997,0.57075407,0.273760264,0.462091337,0.325051492,0.431724878,-0.595043523,-0.556783573,-0.588144197,-0.802382334,-0.360789911,-0.598654528,-0.213339211
24033,AM859991,(sp:O35929) GTP-binding protein REM 1 OS=Mus musculus GN=Rem1 PE=1 SV=1,1,,somatic,0.025066732,0.038632558,0.03441081,0.0536476,-0.045234268,0.023221768,0.236220868,-0.124881738,0.018279426,-0.130862667,-0.695700106,-0.979529101,-0.862561581,-1.094408271,-0.80011192,-1.184812544,-0.913337437
24815,BQ426348,(sp:Q90837) Transcriptional regulator Erg OS=Gallus gallus GN=ERG PE=2 SV=1,1,,somatic,1.307854378,1.218684687,0.966049089,1.275171365,1.365033236,1.608436338,1.195243295,1.112662441,1.156825128,0.878702714,-0.376735746,-0.275283673,-0.203288049,-0.616985018,-0.480932504,-0.453777548,-0.579503612
24901,AM861741,0,1,,somatic,0.672364611,0.906853809,0.635753265,0.79834787,0.654662726,0.882659337,0.998840296,0.643757857,0.729710434,0.622930699,0.057920801,0.148096434,-0.035846928,0.098549481,-0.14251416,-0.154176078,0.025056352
25039,FP007042,0,1,,somatic,1.426730379,1.344069227,1.097731139,1.445465704,1.615370591,1.784356123,1.364368539,1.264012595,1.329662664,1.051467524,0.093100335,0.125758925,0.04402366,-0.031545158,-0.206068768,-0.020741998,-0.020402214
25296,CU999419,0,1,adductor muscle,somatic,0.190511418,0.270396275,0.238330221,0.331173173,0.218832604,0.43245775,0.42094688,0.272984106,0.256059591,-0.013630994,-0.492515179,-0.64452577,-0.693234821,-0.673870616,-0.590394486,-0.540200909,-0.679430725
25327,FP009447,(sp:Q6P1G6) UPF0484 protein FAM167A OS=Mus musculus GN=Fam167a PE=2 SV=1,1,,somatic,0.216867974,0.117943479,-0.217820402,0.108786031,0.226267621,0.421042225,0.231663132,-0.033644978,-0.128335572,0.037171526,-0.766813068,-0.905253804,-0.770719551,-0.729349935,-0.85927261,-1.233579347,-0.693752303
25999,FP006842,0,1,,somatic,-0.368137269,-0.101891887,-0.308766882,-0.26619805,-0.457762199,-0.09853184,-0.391348634,-0.391623131,-0.304028239,-0.508124847,-0.827718154,-0.951268384,-0.886316276,-1.144261832,-1.296124115,-1.104475819,-1.045539488
26066,CX068932,0,1,,somatic,1.701869332,1.685272046,1.680021152,1.664931918,1.651301387,1.726803911,1.736052927,1.666219658,1.62764615,1.440898427,1.301535199,1.305970281,1.250015768,1.285326246,1.33897056,1.215975409,1.359563644
26227,FP010666,0,1,,somatic,0.322118137,0.328638348,0.421897941,0.458097662,0.278528338,0.487536358,0.506284704,0.346670957,0.234980043,0.23183467,-0.666141283,-0.770154698,-1.074159418,-0.652325341,-0.717455247,-0.90689144,-0.651664322
26470,AM860166,0,1,,somatic,0.029715154,0.197845403,-0.003627412,0.158431106,-0.176901121,0.081972968,0.085891716,-0.041341275,0.00268276,-0.018870015,-0.408967483,-0.402135563,-0.403853456,-0.389158559,-0.699526123,-0.411165382,-0.58611752
26504,CU998071,0,1,,somatic,0.449822203,0.622358469,0.5448508,0.668097763,0.578046802,0.74091982,0.601056712,0.487164209,0.43465308,0.362079999,-0.944259917,-1.033231639,-0.499865638,-0.894245662,-0.860784943,-0.717135767,-0.613594979
26921,CU988469,hypothetical protein BRAFLDRAFT_109857 [Branchiostoma floridae],1,,somatic,1.149173697,1.120154595,0.914883998,1.075709937,1.108323701,1.265894703,1.011786205,1.02073722,0.975190479,0.81502345,-0.044656725,0.050760618,-0.116941078,-0.232575039,-0.375201737,-0.060747776,-0.145055662
26994,FP002983,0,1,,somatic,1.281969537,1.116010155,0.937135298,1.16597507,1.263198387,1.362668913,1.139564774,1.175341423,1.137670626,0.896593991,-0.032625982,0.121721684,-0.164089124,0.504205934,-0.062129291,-0.079932652,0.067462625
27086,EE677854,0,1,,somatic,0.857447764,0.92870215,0.781611736,0.751648077,0.723557544,0.729385621,1.070726212,0.679765515,0.79237342,0.986187334,-0.842504079,-0.826373347,-0.741625138,-0.747253653,-0.751566806,-0.480966363,-0.202896017
27695,CU984124,0,1,,somatic,0.307316145,0.229103477,0.275908789,0.491420314,0.177901783,0.437472898,0.153545415,0.248993644,0.233920569,0.100628745,-0.380444316,-0.551534675,-0.416360865,-0.432439804,-0.379572434,-0.716415029,-0.290141567
28040,BQ426247,0,1,,somatic,1.961249054,1.999038407,1.701721823,1.856180331,1.788928406,1.90818727,1.894336273,1.826845518,1.845295946,1.722395183,0.63488083,0.890847064,0.912728036,0.800559779,0.489415822,0.983160853,0.685284156
28100,BQ426811,0,1,,somatic,1.018024181,0.758350888,0.52516496,0.80376798,0.709631822,0.999129733,0.71465874,0.732733846,0.659488058,0.500046602,-0.64696815,-0.401089008,-0.370333516,-0.421227277,-0.501553939,-0.412123738,-0.656563893
28184,AM853925,0,1,,somatic,1.461637141,1.416689594,1.489282561,1.567335389,1.224300599,1.425971173,1.506100991,1.410655108,1.367762589,1.179810705,-0.737905021,-0.773981878,-0.618260072,-0.806633704,-1.157338013,-0.770427086,-0.709369961
28441,AM861051,B-box zinc finger family protein [Brugia malayi],1,,somatic,-0.290293514,-0.312403982,-0.377380925,-0.359227869,-0.151073778,0.043644933,-0.279439944,-0.310505838,-0.534790088,-0.485605535,-0.641097799,-0.718231793,-0.794454057,-0.874214006,-0.91685154,-0.960339513,-0.829191987
29480,FP007063,0,1,,somatic,0.538622531,0.261077477,0.35542935,0.449711422,0.431737724,0.757925542,0.393157793,0.376253448,0.36341262,0.199409105,-0.844865864,-0.521166326,-0.588804649,-0.636378944,-0.945462422,-0.844162387,-0.76196216
29631,BQ426495,0,1,,somatic,1.015150977,0.850695846,0.698810445,0.820882364,0.697070648,0.997636702,0.654347218,0.763694529,0.780021342,0.554229314,-0.512797701,-0.188607414,-0.50888714,-0.995514764,-0.832286144,-0.674115181,-0.359242259
29753,BQ426556,(sp:Q5XFX0) Transgelin-2 OS=Rattus norvegicus GN=Tagln2 PE=1 SV=1,1,,somatic,1.900061049,1.909943699,1.719885185,1.813118319,1.775430316,1.989574021,1.874211709,1.747387852,1.675300777,1.508662075,1.31079312,1.00702587,1.263523216,1.074595821,1.103188081,1.394297027,1.247968185
30556,AJ130967,(sp:P12643) Bone morphogenetic protein 2 OS=Homo sapiens GN=BMP2 PE=1 SV=1,1,,somatic,0.164144219,0.205594045,0.276347017,0.482460418,0.40716991,0.571937013,0.533859011,0.191103127,0.25349575,0.20559867,-0.720317243,-0.67457227,-1.028068648,-0.947213337,-1.148849431,-1.226996618,-0.981232717
30686,CU685815,0,1,,somatic,0.308014701,0.611210681,0.4108113,0.457615607,0.463269264,0.735891163,0.398128407,0.34620063,0.29510615,0.390522271,-0.528886693,-0.37791375,-0.5288536,-0.55542867,-0.506395793,-0.456060814,-0.40688428
31424,CU993043,(sp:P64922) Uncharacterized protein Mb2028c OS=Mycobacterium bovis GN=Mb2028c PE=4 SV=1,1,,somatic,0.80206035,0.837770417,0.967431505,0.986497648,0.806060044,1.138338457,0.960429468,0.845692845,0.841865985,0.788539614,-0.263928093,0.080931626,-0.453961171,-0.501986344,1.45017E-05,-0.111329515,-0.221036205
31753,FP009204,0,1,,somatic,1.263957766,1.269714768,1.060071879,1.265625305,1.219049121,1.375903706,1.163920479,1.204240074,1.209786973,0.961781603,0.606051452,0.632184424,0.535265576,0.521435809,0.128508009,0.467675614,0.450006915
31869,FP011515,0,1,,somatic,0.436137502,0.24542369,0.32260971,0.472871805,0.34426989,0.710500063,0.337879015,0.330074065,0.312981344,0.160859012,-0.705846725,-0.534513342,-0.407425618,-0.570173054,-0.732463357,-0.686999544,-0.67263627
33008,CU992875,(sp:Q92743) Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1,1,,somatic,0.278692423,0.374773717,0.307151403,0.373431556,0.461328376,0.713458375,0.474298358,0.338625436,0.208446368,0.140679695,-0.666269912,-0.338436605,-0.479861499,-0.453786622,-0.628921144,-0.502871363,-0.428333635
34006,FP010850,(sp:Q9ESN6) Tripartite motif-containing protein 2 OS=Mus musculus GN=Trim2 PE=1 SV=1,1,,somatic,1.306739068,1.329529998,1.194648544,1.36806498,1.420635797,1.561613115,1.351280157,1.262700549,1.170472357,1.029369525,0.574470682,0.593613019,0.455471116,0.505450158,0.210377659,0.479351833,0.583184257
34587,CX739578,calponin/transgelin [Schistosoma mansoni],1,,somatic,1.137324091,1.194960008,1.231419845,1.269297325,0.885559785,1.10683431,1.08388347,1.097085311,1.047175333,0.985501668,-0.369131886,-0.631724901,-0.439921399,-0.774020292,-0.675372704,-0.561328231,-0.379250341
35077,CX069019,0,1,adductor muscle,somatic,0.566463383,0.758748467,0.405346754,0.770285804,0.71180982,0.939812512,0.617422848,0.527226721,0.431376994,0.327903554,-0.925280684,-1.458301042,-0.74822579,-1.337983733,-1.338933467,-1.501661337,-1.260462851
35357,CU684487,0,1,,somatic,0.473138106,0.600309604,0.470740353,0.582848213,0.522487705,0.757618149,0.350691009,0.456446603,0.677384386,0.350655656,0.191600155,0.053764424,0.010425743,0.018231477,-0.203957845,0.049344005,0.142935071
35807,EW779302,(sp:Q8CAL5) Glypican-5 OS=Mus musculus GN=Gpc5 PE=2 SV=1,1,,somatic,0.229884524,0.325822809,0.081856146,0.401884727,0.33785137,0.488781761,0.572222789,0.152065471,0.172383855,0.080363339,-0.09252805,-0.125898448,-0.328504284,-0.161302835,-0.256132038,-0.236829877,-0.143652222
36128,FP011637,hypothetical protein BRAFLDRAFT_82426 [Branchiostoma floridae],1,,somatic,1.743443428,1.771693252,1.579988218,1.670739768,1.787175479,1.983208509,1.722874531,1.66484547,1.64296949,1.471434925,0.623398537,0.691310678,0.537625416,0.308213276,0.163085616,0.527503886,0.400846417
36558,CU988248,0,1,,somatic,0.206378582,0.143859546,0.063245848,0.076408713,-0.084087997,0.013594037,0.22444135,-0.009654628,-0.011911722,-0.106715794,-0.420856701,-0.31702261,-0.404035384,-0.262714875,-0.398209154,-0.478853222,-0.611355054
37125,FP008825,0,1,hemocyte,somatic,0.946597204,1.018352136,0.872116032,1.031719439,1.168175299,1.40740874,0.966585431,1.017220882,1.002637615,0.675812119,-0.46806092,-0.430228945,-0.260095602,-0.593739809,-0.529796992,-0.643754012,-0.43162732
37182,CU989322,0,1,,somatic,-0.301659574,-0.202976038,-0.443002722,-0.36414038,-0.215227027,-0.02950756,-0.075009484,-0.503336269,-0.235415146,-0.346456879,-0.901524534,-1.029786502,-1.114428977,-0.974258104,-1.005521498,-1.071405492,-0.860062753
37774,CU997749,(sp:O15943) Neural-cadherin OS=Drosophila melanogaster GN=CadN PE=1 SV=2,1,,somatic,0.900012756,0.646532851,0.471649186,0.66789956,1.050738676,1.067030523,0.808338243,0.618417614,0.511025901,0.612757922,-0.351456784,-0.125297911,-0.261611767,-0.046256142,-0.626034573,-0.179248422,-0.472874138
37780,CU984173,0,1,,somatic,0.358856551,0.244686984,0.318206275,0.52042539,0.1314924,0.298596752,0.313658141,0.255891237,0.298951109,0.130279638,-1.62736421,-1.605732898,-1.513299135,-1.340412992,-1.298174797,-1.52943154,-1.59576543
