"","Term_unique","n","count_unique","species"
"159","ribosome biogenesis",1,31,"Pgen_alone"
"160","telomere organization",1,31,"Pgen_alone"
"161","anatomical structure development",63,54,"all-3"
"162","signaling",51,54,"all-3"
"163","NA",49,54,"all-3"
"164","cell differentiation",43,54,"all-3"
"165","cytoskeleton organization",34,54,"all-3"
"166","DNA-templated transcription",28,54,"all-3"
"167","cell motility",26,54,"all-3"
"168","regulation of DNA-templated transcription",24,54,"all-3"
"169","protein-containing complex assembly",23,54,"all-3"
"170","reproductive process",23,54,"all-3"
"171","cilium organization",18,54,"all-3"
"172","microtubule-based movement",18,54,"all-3"
"173","programmed cell death",18,54,"all-3"
"174","protein catabolic process",17,54,"all-3"
"175","vesicle-mediated transport",16,54,"all-3"
"176","immune system process",15,54,"all-3"
"177","nervous system process",14,54,"all-3"
"178","mRNA metabolic process",13,54,"all-3"
"179","mitotic cell cycle",13,54,"all-3"
"180","cell adhesion",9,54,"all-3"
"181","lipid metabolic process",9,54,"all-3"
"182","cell junction organization",8,54,"all-3"
"183","chromatin organization",7,54,"all-3"
"184","DNA repair",6,54,"all-3"
"185","membrane organization",6,54,"all-3"
"186","carbohydrate derivative metabolic process",5,54,"all-3"
"187","establishment or maintenance of cell polarity",5,54,"all-3"
"188","transmembrane transport",5,54,"all-3"
"189","autophagy",4,54,"all-3"
"190","carbohydrate metabolic process",4,54,"all-3"
"191","chromosome segregation",4,54,"all-3"
"192","defense response to other organism",4,54,"all-3"
"193","generation of precursor metabolites and energy",4,54,"all-3"
"194","intracellular protein transport",4,54,"all-3"
"195","nucleocytoplasmic transport",4,54,"all-3"
"196","protein localization to plasma membrane",4,54,"all-3"
"197","circulatory system process",3,54,"all-3"
"198","cytokinesis",3,54,"all-3"
"199","nucleobase-containing small molecule metabolic process",3,54,"all-3"
"200","ribosome biogenesis",3,54,"all-3"
"201","DNA recombination",2,54,"all-3"
"202","DNA replication",2,54,"all-3"
"203","cellular modified amino acid metabolic process",2,54,"all-3"
"204","cytoplasmic translation",2,54,"all-3"
"205","extracellular matrix organization",2,54,"all-3"
"206","inflammatory response",2,54,"all-3"
"207","mitochondrion organization",2,54,"all-3"
"208","mitotic nuclear division",2,54,"all-3"
"209","muscle system process",2,54,"all-3"
"210","telomere organization",2,54,"all-3"
"211","cellular amino acid metabolic process",1,54,"all-3"
"212","protein maturation",1,54,"all-3"
"213","respiratory system process",1,54,"all-3"
"214","snRNA metabolic process",1,54,"all-3"
"215","tRNA metabolic process",1,54,"all-3"
