"","tissue","Term_unique","n"
"171","heart","mitotic nuclear division",124
"172","juvenile","muscle system process",123
"173","juvenile","DNA recombination",122
"174","gonad","mitotic nuclear division",120
"175","ctenidia","inflammatory response",119
"176","larvae","DNA recombination",119
"177","ctenidia","DNA recombination",116
"178","larvae","muscle system process",116
"179","heart","inflammatory response",115
"180","gonad","DNA recombination",114
"181","heart","DNA recombination",114
"182","juvenile","chromatin organization",113
"183","heart","chromatin organization",110
"184","juvenile","sulfur compound metabolic process",109
"185","ctenidia","chromatin organization",108
"186","juvenile","nucleocytoplasmic transport",108
"187","larvae","chromatin organization",108
"188","heart","nucleocytoplasmic transport",106
"189","juvenile","protein maturation",106
"190","larvae","nucleocytoplasmic transport",106
"191","larvae","sulfur compound metabolic process",106
"192","gonad","chromatin organization",105
"193","heart","muscle system process",105
"194","juvenile","establishment or maintenance of cell polarity",105
"195","juvenile","generation of precursor metabolites and energy",105
"196","ctenidia","muscle system process",104
"197","ctenidia","nucleocytoplasmic transport",104
"198","larvae","generation of precursor metabolites and energy",103
"199","gonad","inflammatory response",102
"200","heart","generation of precursor metabolites and energy",102
"201","larvae","establishment or maintenance of cell polarity",102
"202","ctenidia","establishment or maintenance of cell polarity",101
"203","heart","establishment or maintenance of cell polarity",100
"204","heart","sulfur compound metabolic process",100
"205","larvae","protein maturation",100
"206","ctenidia","DNA replication",99
"207","ctenidia","generation of precursor metabolites and energy",99
"208","ctenidia","protein maturation",99
"209","gonad","generation of precursor metabolites and energy",99
"210","juvenile","DNA replication",99
"211","heart","protein maturation",98
"212","larvae","DNA replication",98
"213","ctenidia","sulfur compound metabolic process",97
"214","gonad","nucleocytoplasmic transport",97
"215","gonad","DNA replication",96
"216","gonad","sulfur compound metabolic process",96
"217","heart","DNA replication",94
"218","juvenile","cytokinesis",91
"219","juvenile","wound healing",91
"220","larvae","cytokinesis",91
"221","gonad","muscle system process",90
"222","heart","cytokinesis",90
"223","ctenidia","cytokinesis",89
"224","gonad","cytokinesis",87
"225","gonad","establishment or maintenance of cell polarity",86
"226","gonad","protein maturation",86
"227","juvenile","cellular amino acid metabolic process",86
"228","larvae","wound healing",86
"229","larvae","cellular amino acid metabolic process",83
"230","heart","cellular amino acid metabolic process",81
"231","gonad","cellular amino acid metabolic process",80
"232","ctenidia","cellular amino acid metabolic process",78
"233","heart","wound healing",78
"234","ctenidia","wound healing",77
"235","juvenile","telomere organization",77
"236","larvae","telomere organization",77
"237","ctenidia","telomere organization",76
"238","juvenile","cellular modified amino acid metabolic process",76
"239","heart","telomere organization",75
"240","juvenile","meiotic nuclear division",74
"241","larvae","cellular modified amino acid metabolic process",73
"242","larvae","meiotic nuclear division",72
"243","gonad","wound healing",71
"244","gonad","telomere organization",70
"245","heart","cellular modified amino acid metabolic process",70
"246","ctenidia","ribosome biogenesis",69
"247","heart","ribosome biogenesis",69
"248","juvenile","ribosome biogenesis",69
"249","larvae","ribosome biogenesis",69
"250","ctenidia","meiotic nuclear division",68
"251","heart","meiotic nuclear division",68
"252","juvenile","protein localization to plasma membrane",68
"253","gonad","meiotic nuclear division",67
"254","gonad","ribosome biogenesis",67
"255","heart","protein localization to plasma membrane",67
"256","larvae","protein localization to plasma membrane",67
"257","ctenidia","protein localization to plasma membrane",66
"258","ctenidia","cellular modified amino acid metabolic process",65
"259","gonad","cellular modified amino acid metabolic process",64
"260","gonad","protein localization to plasma membrane",64
"261","juvenile","extracellular matrix organization",55
"262","juvenile","protein glycosylation",54
"263","larvae","protein glycosylation",52
"264","ctenidia","protein glycosylation",46
"265","gonad","protein glycosylation",46
"266","juvenile","renal system process",46
"267","heart","protein glycosylation",45
"268","larvae","extracellular matrix organization",45
"269","larvae","renal system process",43
"270","heart","extracellular matrix organization",42
"271","ctenidia","extracellular matrix organization",40
"272","ctenidia","tRNA metabolic process",40
"273","gonad","tRNA metabolic process",40
"274","heart","tRNA metabolic process",40
"275","juvenile","tRNA metabolic process",40
"276","larvae","tRNA metabolic process",40
"277","gonad","extracellular matrix organization",39
"278","heart","renal system process",39
"279","juvenile","digestive system process",39
"280","juvenile","vitamin metabolic process",38
"281","ctenidia","renal system process",37
"282","larvae","vitamin metabolic process",36
"283","juvenile","gene silencing by RNA",33
"284","larvae","digestive system process",33
"285","ctenidia","vitamin metabolic process",32
"286","juvenile","endocrine process",32
"287","larvae","gene silencing by RNA",32
"288","ctenidia","gene silencing by RNA",31
"289","heart","gene silencing by RNA",31
"290","gonad","renal system process",30
"291","heart","vitamin metabolic process",30
"292","larvae","endocrine process",30
"293","ctenidia","protein folding",29
"294","gonad","protein folding",29
"295","heart","protein folding",29
"296","juvenile","protein folding",29
"297","larvae","protein folding",29
"298","gonad","gene silencing by RNA",28
"299","gonad","vitamin metabolic process",28
"300","heart","digestive system process",28
"301","ctenidia","mitochondrial gene expression",25
"302","heart","mitochondrial gene expression",25
"303","juvenile","mitochondrial gene expression",25
"304","larvae","mitochondrial gene expression",25
"305","ctenidia","digestive system process",24
"306","gonad","mitochondrial gene expression",24
"307","gonad","digestive system process",23
"308","heart","endocrine process",23
"309","ctenidia","endocrine process",21
"310","gonad","endocrine process",19
"311","juvenile","detoxification",18
"312","ctenidia","cytoplasmic translation",17
"313","ctenidia","detoxification",17
"314","gonad","cytoplasmic translation",17
"315","heart","cytoplasmic translation",17
"316","juvenile","cytoplasmic translation",17
"317","juvenile","respiratory system process",17
"318","larvae","cytoplasmic translation",17
"319","larvae","detoxification",17
"320","larvae","respiratory system process",17
"321","ctenidia","respiratory system process",16
"322","ctenidia","snRNA metabolic process",16
"323","gonad","snRNA metabolic process",16
"324","heart","detoxification",16
"325","heart","respiratory system process",16
"326","heart","snRNA metabolic process",16
"327","juvenile","lysosome organization",16
"328","juvenile","snRNA metabolic process",16
"329","larvae","lysosome organization",16
"330","larvae","snRNA metabolic process",16
"331","ctenidia","lysosome organization",15
"332","ctenidia","peroxisome organization",15
"333","heart","lysosome organization",15
"334","heart","peroxisome organization",15
"335","juvenile","peroxisome organization",15
"336","larvae","peroxisome organization",15
"337","gonad","detoxification",14
"338","gonad","peroxisome organization",14
"339","gonad","respiratory system process",14
"340","gonad","lysosome organization",13
"341","juvenile","cell wall organization or biogenesis",13
"342","heart","cell wall organization or biogenesis",12
"343","larvae","cell wall organization or biogenesis",12
"344","ctenidia","cell wall organization or biogenesis",11
"345","gonad","cell wall organization or biogenesis",8
"346","heart","nitrogen cycle metabolic process",6
"347","juvenile","nitrogen cycle metabolic process",6
"348","larvae","nitrogen cycle metabolic process",6
"349","ctenidia","nitrogen cycle metabolic process",5
"350","gonad","nitrogen cycle metabolic process",5
"351","ctenidia","NA",1
"352","gonad","NA",1
"353","heart","NA",1
"354","juvenile","NA",1
"355","larvae","NA",1
